season_id,player_id,player,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,team
22022,1629308,Juan Toscano-Anderson,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.059,30,0.101,1.286,0.6,0.14,0.14,0.14,0.0,0.57,0.7,0.5,0.6,0.2,0.3,0.1,LAL
22022,1631108,Max Christie,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.596,41,0.089,0.9,0.353,0.1,0.05,0.05,0.0,0.4,0.441,0.5,0.4,0.1,0.4,0.3,LAL
22022,1626156,D'Angelo Russell,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.01,17,0.099,1.429,0.583,0.14,0.0,0.14,0.0,0.64,0.667,0.8,1.2,0.4,0.7,0.3,LAL
22022,1629060,Rui Hachimura,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.857,33,0.117,0.741,0.273,0.15,0.07,0.15,0.04,0.33,0.318,0.8,0.6,0.2,0.7,0.5,LAL
22022,1629020,Jarred Vanderbilt,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.701,26,0.112,0.852,0.263,0.22,0.07,0.22,0.0,0.41,0.289,1.0,0.9,0.2,0.7,0.5,LAL
22022,1629022,Lonnie Walker IV,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.024,56,0.043,1.368,0.643,0.21,0.11,0.21,0.05,0.63,0.714,0.3,0.5,0.2,0.3,0.1,LAL
22022,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.432,52,0.062,0.966,0.45,0.17,0.14,0.1,0.0,0.48,0.5,0.6,0.5,0.2,0.4,0.2,LAL
22022,201976,Patrick Beverley,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.627,45,0.074,0.889,0.481,0.11,0.17,0.06,0.03,0.44,0.481,0.8,0.7,0.3,0.6,0.3,LAL
22022,203471,Dennis Schröder,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.297,66,0.045,1.029,0.467,0.11,0.03,0.11,0.0,0.51,0.483,0.5,0.5,0.2,0.5,0.2,LAL
22022,1629117,Wenyen Gabriel,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.297,68,0.073,1.029,0.452,0.17,0.06,0.17,0.11,0.46,0.484,0.5,0.5,0.2,0.5,0.3,LAL
22022,1628418,Thomas Bryant,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.09,41,0.063,1.194,0.577,0.23,0.06,0.23,0.13,0.58,0.596,0.8,0.9,0.4,0.6,0.3,LAL
22022,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.611,56,0.052,0.896,0.45,0.06,0.12,0.06,0.02,0.42,0.488,0.9,0.8,0.3,0.7,0.4,LAL
22022,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.133,55,0.082,1.14,0.514,0.07,0.07,0.07,0.0,0.51,0.595,0.8,0.9,0.3,0.7,0.3,LAL
22022,1628972,Troy Brown Jr.,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.396,76,0.089,0.985,0.474,0.09,0.07,0.09,0.01,0.48,0.491,0.9,0.9,0.4,0.8,0.4,LAL
22022,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.547,64,0.096,0.92,0.397,0.15,0.09,0.15,0.01,0.44,0.431,1.2,1.1,0.4,0.9,0.5,LAL
