season_id,player_id,player,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,team
22022,1630696,Dru Smith,1610612748,MIA,Miami Heat,Spotup,Defensive,0.087,5,0.423,1.273,0.5,0.0,0.091,0.0,0.0,0.455,0.7,11,14,5,10,5,MIA
22022,203469,Cody Zeller,1610612748,MIA,Miami Heat,Spotup,Defensive,0.056,15,0.231,1.333,0.5,0.11,0.0,0.11,0.0,0.556,0.66,18,24,8,16,8,MIA
22022,203473,Dewayne Dedmon,1610612748,MIA,Miami Heat,Spotup,Defensive,0.533,31,0.223,1.03,0.42,0.0,0.061,0.0,0.0,0.394,0.55,33,34,13,31,18,MIA
22022,1631107,Nikola Jović,1610612748,MIA,Miami Heat,Spotup,Defensive,0.148,15,0.377,1.207,0.5,0.07,0.069,0.07,0.03,0.448,0.65,29,35,13,26,13,MIA
22022,1631115,Orlando Robinson,1610612748,MIA,Miami Heat,Spotup,Defensive,0.233,31,0.272,1.147,0.45,0.03,0.059,0.03,0.0,0.441,0.61,34,39,14,31,17,MIA
22022,201567,Kevin Love,1610612748,MIA,Miami Heat,Spotup,Defensive,0.127,21,0.255,1.229,0.45,0.03,0.029,0.03,0.0,0.457,0.62,35,43,15,33,18,MIA
22022,1631288,Jamal Cain,1610612748,MIA,Miami Heat,Spotup,Defensive,0.383,18,0.548,1.078,0.42,0.04,0.078,0.02,0.0,0.412,0.58,51,55,19,45,26,MIA
22022,1629130,Duncan Robinson,1610612748,MIA,Miami Heat,Spotup,Defensive,0.119,42,0.433,1.231,0.49,0.09,0.141,0.09,0.01,0.449,0.7,78,96,30,61,31,MIA
22022,1629312,Haywood Highsmith,1610612748,MIA,Miami Heat,Spotup,Defensive,0.702,54,0.402,0.968,0.39,0.04,0.115,0.04,0.01,0.363,0.53,157,152,52,134,82,MIA
22022,203506,Victor Oladipo,1610612748,MIA,Miami Heat,Spotup,Defensive,0.631,42,0.411,0.994,0.39,0.06,0.098,0.06,0.01,0.382,0.53,173,172,58,147,89,MIA
22022,200768,Kyle Lowry,1610612748,MIA,Miami Heat,Spotup,Defensive,0.629,55,0.48,0.995,0.37,0.04,0.039,0.04,0.0,0.384,0.51,203,202,70,187,117,MIA
22022,202710,Jimmy Butler III,1610612748,MIA,Miami Heat,Spotup,Defensive,0.885,64,0.361,0.89,0.36,0.02,0.085,0.02,0.0,0.341,0.48,246,219,79,220,141,MIA
22022,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,Spotup,Defensive,0.231,75,0.229,1.149,0.44,0.05,0.05,0.04,0.01,0.441,0.59,202,232,81,184,103,MIA
22022,1629216,Gabe Vincent,1610612748,MIA,Miami Heat,Spotup,Defensive,0.638,68,0.424,0.993,0.38,0.04,0.066,0.04,0.01,0.379,0.51,272,270,93,244,151,MIA
22022,1629639,Tyler Herro,1610612748,MIA,Miami Heat,Spotup,Defensive,0.56,67,0.423,1.017,0.4,0.02,0.064,0.02,0.01,0.382,0.53,296,301,108,272,164,MIA
22022,1628997,Caleb Martin,1610612748,MIA,Miami Heat,Spotup,Defensive,0.55,71,0.405,1.021,0.41,0.02,0.088,0.02,0.0,0.384,0.55,331,338,122,296,174,MIA
22022,1629622,Max Strus,1610612748,MIA,Miami Heat,Spotup,Defensive,0.425,80,0.487,1.066,0.4,0.06,0.049,0.06,0.01,0.415,0.54,349,372,126,312,186,MIA
