season_id,player_id,player,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,team
22022,1629677,Luka Samanic,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.131,7,0.375,1.222,0.44,0.06,0.056,0.06,0.0,0.444,0.62,18,22,7,16,9,UTA
22022,1627745,Damian Jones,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.713,19,0.211,0.963,0.36,0.04,0.037,0.04,0.0,0.37,0.5,27,26,9,25,16,UTA
22022,1630548,Johnny Juzang,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.321,18,0.429,1.111,0.42,0.04,0.037,0.04,0.04,0.407,0.56,27,30,11,26,15,UTA
22022,1629308,Juan Toscano-Anderson,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.453,22,0.372,1.056,0.43,0.02,0.037,0.02,0.0,0.426,0.55,54,57,22,51,29,UTA
22022,1629638,Nickeil Alexander-Walker,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.013,36,0.182,1.523,0.58,0.07,0.068,0.07,0.0,0.545,0.83,44,67,22,38,16,UTA
22022,1629012,Collin Sexton,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.762,49,0.189,0.944,0.33,0.06,0.042,0.04,0.03,0.338,0.46,71,67,22,66,44,UTA
22022,1627739,Kris Dunn,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.704,22,0.403,0.968,0.35,0.02,0.065,0.02,0.0,0.344,0.5,93,90,30,85,55,UTA
22022,1627736,Malik Beasley,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.779,55,0.244,0.939,0.35,0.05,0.051,0.05,0.0,0.367,0.47,98,92,31,88,57,UTA
22022,201144,Mike Conley,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.776,43,0.233,0.94,0.36,0.04,0.06,0.04,0.01,0.36,0.49,100,94,33,91,58,UTA
22022,1631323,Simone Fontecchio,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.216,52,0.418,1.16,0.42,0.06,0.012,0.06,0.04,0.432,0.57,81,94,33,78,45,UTA
22022,200752,Rudy Gay,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.521,56,0.328,1.032,0.41,0.07,0.064,0.07,0.01,0.426,0.52,94,97,34,82,48,UTA
22022,1630534,Ochai Agbaji,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.944,59,0.298,0.809,0.31,0.04,0.037,0.05,0.02,0.316,0.41,136,110,40,127,87,UTA
22022,1629659,Talen Horton-Tucker,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.406,65,0.271,1.074,0.41,0.05,0.057,0.04,0.01,0.41,0.55,122,131,45,110,65,UTA
22022,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.546,61,0.239,1.023,0.39,0.03,0.047,0.02,0.01,0.388,0.52,129,132,47,120,73,UTA
22022,1629020,Jarred Vanderbilt,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.434,52,0.324,1.062,0.4,0.08,0.055,0.07,0.03,0.404,0.53,146,155,52,131,79,UTA
22022,1628374,Lauri Markkanen,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.612,66,0.21,1.0,0.35,0.08,0.035,0.08,0.02,0.376,0.49,170,170,54,154,100,UTA
22022,1631117,Walker Kessler,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.531,75,0.206,1.03,0.41,0.05,0.036,0.04,0.01,0.416,0.53,197,203,74,182,108,UTA
22022,203482,Kelly Olynyk,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.388,68,0.321,1.078,0.42,0.03,0.066,0.03,0.01,0.401,0.56,257,277,98,235,137,UTA
