season_id,player_id,player,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,team
22024,1626162,Kelly Oubre Jr.,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.317,60,0.282,0.952,0.355,0.056,0.028,0.052,0.012,0.369,0.466,252,240,83,234,151,PHI
22024,1627824,Guerschon Yabusele,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.592,70,0.275,1.067,0.402,0.046,0.051,0.041,0.015,0.4,0.553,195,208,72,179,107,PHI
22024,1641741,Ricky Council IV,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.21,73,0.368,0.897,0.337,0.056,0.037,0.042,0.009,0.355,0.446,214,192,66,196,130,PHI
22024,1642348,Justin Edwards,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.549,44,0.385,1.046,0.402,0.017,0.04,0.017,0.006,0.393,0.543,173,181,66,164,98,PHI
22024,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.684,52,0.119,1.119,0.442,0.113,0.057,0.113,0.038,0.459,0.554,159,178,61,138,77,PHI
22024,201569,Eric Gordon,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.777,39,0.551,1.156,0.439,0.078,0.057,0.071,0.007,0.454,0.598,141,163,54,123,69,PHI
22024,1629656,Quentin Grimes,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.731,28,0.228,1.133,0.413,0.052,0.059,0.052,0.007,0.415,0.583,135,153,50,121,71,PHI
22024,202331,Paul George,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.803,41,0.138,1.172,0.43,0.02,0.051,0.02,0.01,0.414,0.608,99,116,40,93,53,PHI
22024,1628997,Caleb Martin,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.614,31,0.34,1.076,0.43,0.076,0.048,0.057,0.01,0.438,0.565,105,113,40,93,53,PHI
22024,1642272,Jared McCain,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.795,23,0.265,1.169,0.443,0.079,0.045,0.079,0.011,0.461,0.595,89,104,35,79,44,PHI
22024,1629022,Lonnie Walker IV,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.536,20,0.386,1.042,0.411,0.01,0.052,0.01,0.0,0.396,0.544,96,100,37,90,53,PHI
22024,1630215,Jared Butler,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.78,28,0.218,1.158,0.444,0.013,0.039,0.013,0.0,0.434,0.597,76,88,32,72,40,PHI
22024,1630288,Jeff Dowtin Jr.,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.855,41,0.181,1.208,0.468,0.042,0.0,0.042,0.021,0.479,0.596,48,58,22,47,25,PHI
22024,202704,Reggie Jackson,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.56,31,0.359,1.055,0.4,0.0,0.0,0.0,0.0,0.4,0.527,55,58,22,55,33,PHI
22024,200768,Kyle Lowry,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.434,35,0.357,1.0,0.34,0.055,0.036,0.055,0.0,0.364,0.49,55,55,17,50,33,PHI
22024,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.171,19,0.098,0.867,0.324,0.133,0.089,0.133,0.044,0.356,0.405,45,39,12,37,25,PHI
22024,1642024,Alex Reese,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.945,14,0.375,1.292,0.458,0.0,0.0,0.0,0.0,0.458,0.646,24,31,11,24,13,PHI
22024,1630231,KJ Martin,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.839,24,0.208,1.192,0.417,0.077,0.0,0.077,0.0,0.462,0.563,26,31,10,24,14,PHI
22024,1629643,Chuma Okeke,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.93,7,0.595,1.273,0.476,0.0,0.045,0.0,0.0,0.455,0.667,22,28,10,21,11,PHI
22024,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.987,58,0.054,1.5,0.846,0.188,0.063,0.188,0.063,0.813,0.846,16,24,11,13,2,PHI
22024,1641720,Jalen Hood-Schifino,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.065,13,0.187,0.739,0.318,0.0,0.043,0.0,0.0,0.304,0.386,23,17,7,22,15,PHI
22024,1629052,Oshae Brissett,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.749,6,0.264,1.143,0.462,0.143,0.071,0.143,0.143,0.429,0.577,14,16,6,13,7,PHI
22024,203083,Andre Drummond,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.008,40,0.051,0.471,0.188,0.0,0.059,0.0,0.0,0.176,0.25,17,8,3,16,13,PHI
