player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
2440,Matt Barnes,1610612763,MEM,36.0,76,75,0.533,113,351,0.322,0.00473,0.046,7,30,0.233,0.488,106,321,0.33
201188,Marc Gasol,1610612763,MEM,31.0,52,52,0.378,123,258,0.477,0.00481,0.374,121,255,0.475,0.004,2,3,0.667
203798,PJ Hairston,1610612763,MEM,23.0,66,64,0.594,69,233,0.296,0.00442,0.013,1,5,0.2,0.582,68,228,0.298
1713,Vince Carter,1610612763,MEM,39.0,60,55,0.489,59,161,0.366,0.00525,0.055,8,18,0.444,0.435,51,143,0.357
2216,Zach Randolph,1610612763,MEM,34.0,68,64,0.183,63,153,0.412,0.00428,0.16,58,134,0.433,0.023,5,19,0.263
203210,JaMychal Green,1610612763,MEM,26.0,78,65,0.331,58,148,0.392,0.00443,0.237,43,106,0.406,0.094,15,42,0.357
201144,Mike Conley,1610612763,MEM,28.0,56,51,0.21,53,139,0.381,0.0054,0.027,9,18,0.5,0.183,44,121,0.364
2754,Tony Allen,1610612763,MEM,34.0,64,45,0.205,30,84,0.357,0.00446,0.102,15,42,0.357,0.102,15,42,0.357
202362,Lance Stephenson,1610612763,MEM,25.0,69,36,0.128,20,57,0.351,0.00526,0.007,0,3,0.0,0.122,20,54,0.37
2757,Beno Udrih,1610612763,MEM,33.0,44,30,0.241,18,46,0.391,0.005430000000000001,0.058,4,11,0.364,0.183,14,35,0.4
1626185,Jarell Martin,1610612763,MEM,22.0,27,18,0.267,10,27,0.37,0.0037,0.248,10,25,0.4,0.02,0,2,0.0
200770,Jordan Farmar,1610612763,MEM,29.0,12,11,0.237,7,22,0.318,0.00477,0.0,0,0,,0.237,7,22,0.318
204098,Xavier Munford,1610612763,MEM,24.0,14,12,0.271,8,19,0.421,0.00605,0.014,1,1,1.0,0.257,7,18,0.389
2365,Chris Andersen,1610612763,MEM,37.0,27,12,0.258,4,17,0.235,0.0032400000000000003,0.091,1,6,0.167,0.167,3,11,0.273
201148,Brandan Wright,1610612763,MEM,28.0,12,5,0.118,3,6,0.5,0.005,0.118,3,6,0.5,0.0,0,0,
200797,Ryan Hollins,1610612763,MEM,31.0,37,5,0.076,3,5,0.6,0.006,0.076,3,5,0.6,0.0,0,0,
203955,Bryce Cotton,1610612763,MEM,23.0,8,2,0.3,0,3,0.0,0.0,0.0,0,0,,0.3,0,3,0.0
203893,Russ Smith,1610612763,MEM,25.0,15,2,0.118,1,2,0.5,0.0075,0.0,0,0,,0.118,1,2,0.5
1627293,Alex Stepheson,1610612763,MEM,28.0,8,1,0.095,1,2,0.5,0.005,0.095,1,2,0.5,0.0,0,0,
203919,Jordan Adams,1610612763,MEM,21.0,2,1,0.167,0,1,0.0,0.0,0.0,0,0,,0.167,0,1,0.0
203950,Jarnell Stokes,1610612763,MEM,22.0,7,1,0.2,0,1,0.0,0.0,0.2,0,1,0.0,0.0,0,0,
