player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
201954,Darren Collison,1610612758,SAC,28.0,73,72,0.409,131,290,0.452,0.00493,0.309,107,219,0.489,0.1,24,71,0.338
200752,Rudy Gay,1610612758,SAC,29.0,69,64,0.266,104,248,0.419,0.00444,0.228,92,213,0.432,0.037,12,35,0.343
200765,Rajon Rondo,1610612758,SAC,30.0,71,68,0.263,66,190,0.347,0.00392,0.198,49,143,0.343,0.065,17,47,0.362
201158,Marco Belinelli,1610612758,SAC,30.0,67,63,0.267,51,165,0.309,0.0034799999999999996,0.18,38,111,0.342,0.087,13,54,0.241
202326,DeMarcus Cousins,1610612758,SAC,25.0,64,59,0.114,40,137,0.292,0.00307,0.102,36,122,0.295,0.013,4,15,0.267
203552,Seth Curry,1610612758,SAC,25.0,43,30,0.351,31,73,0.425,0.005,0.207,20,43,0.465,0.144,11,30,0.367
203463,Ben McLemore,1610612758,SAC,23.0,67,44,0.169,27,72,0.375,0.00424,0.129,20,55,0.364,0.04,7,17,0.412
201956,Omri Casspi,1610612758,SAC,28.0,69,38,0.099,24,59,0.407,0.005849999999999999,0.02,3,12,0.25,0.079,21,47,0.447
202341,James Anderson,1610612758,SAC,27.0,50,16,0.177,7,29,0.241,0.0031,0.091,3,15,0.2,0.085,4,14,0.286
2406,Caron Butler,1610612758,SAC,36.0,16,11,0.305,10,18,0.556,0.005560000000000001,0.305,10,18,0.556,0.0,0,0,
1626161,Willie Cauley-Stein,1610612758,SAC,22.0,65,9,0.044,3,14,0.214,0.00214,0.044,3,14,0.214,0.0,0,0,
201585,Kosta Koufos,1610612758,SAC,27.0,77,11,0.029,2,12,0.167,0.00167,0.029,2,12,0.167,0.0,0,0,
203112,Quincy Acy,1610612758,SAC,25.0,58,10,0.049,5,10,0.5,0.006,0.039,3,8,0.375,0.01,2,2,1.0
1626251,Duje Dukan,1610612758,SAC,24.0,1,1,0.3,0,3,0.0,0.0,0.2,0,2,0.0,0.1,0,1,0.0
