player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
202689,Kemba Walker,1610612766,CHA,27.0,79,79,1.0,8.14,16.94,0.481,0.57,0.563,5.1,9.53,0.535,0.437,3.04,7.41,0.41
201587,Nicolas Batum,1610612766,CHA,28.0,77,77,1.0,5.1,12.14,0.42,0.493,0.568,3.35,6.9,0.486,0.432,1.75,5.25,0.334
1626163,Frank Kaminsky,1610612766,CHA,24.0,75,75,1.0,4.27,10.21,0.418,0.493,0.539,2.72,5.51,0.494,0.461,1.55,4.71,0.329
101107,Marvin Williams,1610612766,CHA,31.0,76,76,1.0,3.91,8.8,0.444,0.537,0.474,2.28,4.17,0.546,0.526,1.63,4.63,0.352
201158,Marco Belinelli,1610612766,CHA,31.0,74,74,1.0,3.55,8.15,0.436,0.521,0.531,2.18,4.32,0.503,0.469,1.38,3.82,0.36
203087,Jeremy Lamb,1610612766,CHA,25.0,62,62,1.0,3.65,7.65,0.477,0.52,0.692,2.98,5.29,0.564,0.308,0.66,2.35,0.281
203077,Michael Kidd-Gilchrist,1610612766,CHA,23.0,81,81,1.0,3.64,6.77,0.538,0.539,0.984,3.63,6.65,0.545,0.016,0.01,0.11,0.111
203469,Cody Zeller,1610612766,CHA,24.0,62,62,1.0,4.08,6.26,0.652,0.652,0.997,4.08,6.24,0.654,0.003,0.0,0.02,0.0
201196,Ramon Sessions,1610612766,CHA,31.0,50,50,1.0,2.0,4.76,0.42,0.464,0.744,1.58,3.54,0.446,0.256,0.42,1.22,0.344
1627362,Briante Weber,1610612766,CHA,24.0,20,18,1.0,1.25,2.9,0.431,0.44,0.828,1.2,2.4,0.5,0.172,0.05,0.5,0.1
203948,Johnny O'Bryant III,1610612766,CHA,24.0,11,10,1.0,1.36,2.73,0.5,0.55,0.8,1.09,2.18,0.5,0.2,0.27,0.55,0.5
203148,Brian Roberts,1610612766,CHA,31.0,41,37,1.0,1.12,2.73,0.411,0.487,0.607,0.71,1.66,0.426,0.393,0.41,1.07,0.386
203101,Miles Plumlee,1610612766,CHA,28.0,45,33,1.0,0.98,1.78,0.55,0.55,1.0,0.98,1.78,0.55,0.0,0.0,0.0,
1626174,Christian Wood,1610612766,CHA,21.0,13,9,1.0,0.92,1.62,0.571,0.571,0.762,0.92,1.23,0.75,0.238,0.0,0.38,0.0
1627861,Mike Tobey,1610612766,CHA,22.0,2,2,1.0,0.5,1.5,0.333,0.333,1.0,0.5,1.5,0.333,0.0,0.0,0.0,
1626203,Treveon Graham,1610612766,CHA,23.0,27,16,1.0,0.7,1.22,0.576,0.712,0.545,0.37,0.67,0.556,0.455,0.33,0.56,0.6
1626151,Aaron Harrison,1610612766,CHA,22.0,5,4,1.0,0.0,0.8,0.0,0.0,0.5,0.0,0.4,0.0,0.5,0.0,0.4,0.0
