player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1626157,Karl-Anthony Towns,1610612750,MIN,21.0,82,81,0.263,153,365,0.419,0.0054800000000000005,0.088,59,122,0.484,0.175,94,243,0.387
203476,Gorgui Dieng,1610612750,MIN,27.0,82,77,0.414,116,254,0.457,0.00486,0.356,101,218,0.463,0.059,15,36,0.417
203952,Andrew Wiggins,1610612750,MIN,22.0,82,76,0.143,86,210,0.41,0.00579,0.022,15,33,0.455,0.12,71,177,0.401
201937,Ricky Rubio,1610612750,MIN,26.0,75,69,0.333,72,206,0.35,0.00481,0.061,18,38,0.474,0.271,54,168,0.321
203897,Zach LaVine,1610612750,MIN,22.0,47,46,0.295,82,198,0.414,0.00611,0.019,4,13,0.308,0.275,78,185,0.422
202357,Nemanja Bjelica,1610612750,MIN,29.0,65,59,0.488,57,168,0.339,0.00497,0.023,4,8,0.5,0.465,53,160,0.331
203498,Shabazz Muhammad,1610612750,MIN,24.0,78,65,0.277,48,152,0.316,0.00464,0.027,3,15,0.2,0.25,45,137,0.328
201575,Brandon Rush,1610612750,MIN,31.0,47,40,0.663,47,118,0.398,0.005849999999999999,0.039,3,7,0.429,0.624,44,111,0.396
1627739,Kris Dunn,1610612750,MIN,23.0,78,41,0.231,18,68,0.265,0.0036,0.047,5,14,0.357,0.183,13,54,0.241
1626145,Tyus Jones,1610612750,MIN,21.0,60,28,0.316,23,56,0.411,0.00616,0.0,0,0,,0.316,23,56,0.411
201956,Omri Casspi,1610612750,MIN,29.0,36,26,0.237,15,36,0.417,0.00611,0.007,1,1,1.0,0.23,14,35,0.4
203940,Adreian Payne,1610612750,MIN,26.0,18,11,0.377,6,20,0.3,0.00375,0.113,3,6,0.5,0.264,3,14,0.214
201941,Jordan Hill,1610612750,MIN,29.0,7,2,0.167,0,2,0.0,0.0,0.167,0,2,0.0,0.0,0,0,
202332,Cole Aldrich,1610612750,MIN,28.0,62,1,0.013,0,1,0.0,0.0,0.013,0,1,0.0,0.0,0,0,
