player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
2544,LeBron James,1610612739,CLE,33.0,22,22,0.426,87,210,0.414,0.0047599999999999995,0.26,61,128,0.477,0.166,26,82,0.317
2747,JR Smith,1610612739,CLE,32.0,22,21,0.33,15,61,0.246,0.00311,0.168,7,31,0.226,0.162,8,30,0.267
203903,Jordan Clarkson,1610612739,CLE,26.0,19,18,0.411,13,46,0.283,0.0034799999999999996,0.214,7,24,0.292,0.196,6,22,0.273
201588,George Hill,1610612739,CLE,32.0,19,19,0.303,12,37,0.324,0.004050000000000001,0.148,6,18,0.333,0.156,6,19,0.316
203918,Rodney Hood,1610612739,CLE,25.0,17,13,0.434,15,36,0.417,0.00444,0.325,13,27,0.481,0.108,2,9,0.222
2594,Kyle Korver,1610612739,CLE,37.0,22,15,0.213,11,29,0.379,0.00483,0.103,5,14,0.357,0.11,6,15,0.4
201567,Kevin Love,1610612739,CLE,29.0,21,15,0.109,5,28,0.179,0.00214,0.074,3,19,0.158,0.035,2,9,0.222
201145,Jeff Green,1610612739,CLE,31.0,22,14,0.149,3,20,0.15,0.0015,0.119,3,16,0.188,0.03,0,4,0.0
1626224,Cedi Osman,1610612739,CLE,23.0,14,5,0.389,1,7,0.143,0.0014299999999999998,0.222,1,4,0.25,0.167,0,3,0.0
101181,Jose Calderon,1610612739,CLE,36.0,13,3,0.16,2,4,0.5,0.00625,0.04,1,1,1.0,0.12,1,3,0.333
202684,Tristan Thompson,1610612739,CLE,27.0,19,2,0.027,0,2,0.0,0.0,0.027,0,2,0.0,0.0,0,0,
1626204,Larry Nance Jr.,1610612739,CLE,25.0,20,1,0.018,0,1,0.0,0.0,0.0,0,0,,0.018,0,1,0.0
