player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
201566,Russell Westbrook,1610612760,OKC,29.0,78,78,0.413,5.24,8.26,0.635,0.635,0.413,5.24,8.26,0.635,0.0,0.0,0.0,
203500,Steven Adams,1610612760,OKC,24.0,75,75,0.926,5.59,8.05,0.694,0.694,0.926,5.59,8.05,0.694,0.0,0.0,0.0,
202331,Paul George,1610612760,OKC,28.0,78,78,0.254,2.67,4.1,0.65,0.65,0.254,2.67,4.1,0.65,0.0,0.0,0.0,
203924,Jerami Grant,1610612760,OKC,24.0,80,74,0.669,2.45,3.39,0.723,0.723,0.669,2.45,3.39,0.723,0.0,0.0,0.0,
203460,Andre Roberson,1610612760,OKC,26.0,37,35,0.743,1.97,2.81,0.702,0.702,0.743,1.97,2.81,0.702,0.0,0.0,0.0,
201147,Corey Brewer,1610612760,OKC,32.0,72,59,0.577,1.47,2.33,0.631,0.631,0.577,1.47,2.33,0.631,0.0,0.0,0.0,
2546,Carmelo Anthony,1610612760,OKC,34.0,76,62,0.144,1.24,2.04,0.606,0.606,0.144,1.24,2.04,0.606,0.0,0.0,0.0,
101109,Raymond Felton,1610612760,OKC,34.0,80,59,0.223,0.86,1.43,0.605,0.605,0.223,0.86,1.43,0.605,0.0,0.0,0.0,
2555,Nick Collison,1610612760,OKC,37.0,13,7,1.0,0.85,1.23,0.688,0.688,1.0,0.85,1.23,0.688,0.0,0.0,0.0,
1626177,Dakari Johnson,1610612760,OKC,22.0,30,15,0.818,0.6,0.9,0.667,0.667,0.818,0.6,0.9,0.667,0.0,0.0,0.0,
202335,Patrick Patterson,1610612760,OKC,29.0,80,45,0.26,0.4,0.81,0.492,0.492,0.26,0.4,0.81,0.492,0.0,0.0,0.0,
203962,Josh Huestis,1610612760,OKC,26.0,68,34,0.282,0.37,0.71,0.521,0.521,0.282,0.37,0.71,0.521,0.0,0.0,0.0,
202713,Kyle Singler,1610612760,OKC,30.0,11,6,0.636,0.27,0.64,0.429,0.429,0.636,0.27,0.64,0.429,0.0,0.0,0.0,
203518,Alex Abrines,1610612760,OKC,24.0,73,23,0.14,0.32,0.52,0.605,0.605,0.14,0.32,0.52,0.605,0.0,0.0,0.0,
1628408,PJ Dozier,1610612760,OKC,21.0,2,1,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,
1627772,Daniel Hamilton,1610612760,OKC,22.0,6,2,0.3,0.33,0.5,0.667,0.667,0.3,0.33,0.5,0.667,0.0,0.0,0.0,
1628390,Terrance Ferguson,1610612760,OKC,20.0,59,22,0.177,0.36,0.47,0.75,0.75,0.177,0.36,0.47,0.75,0.0,0.0,0.0,
