player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1628374,Lauri Markkanen,1610612741,CHI,22.0,51,51,0.409,2.33,6.29,0.371,0.542,0.025,0.18,0.39,0.45,0.383,2.16,5.9,0.365
203490,Otto Porter Jr.,1610612741,CHI,26.0,55,54,0.375,1.85,4.27,0.434,0.617,0.057,0.29,0.65,0.444,0.317,1.56,3.62,0.432
203960,JaKarr Sampson,1610612741,CHI,26.0,4,4,0.264,1.25,3.5,0.357,0.536,0.0,0.0,0.0,,0.264,1.25,3.5,0.357
1628976,Wendell Carter Jr.,1610612741,CHI,20.0,43,38,0.266,0.93,2.26,0.412,0.443,0.195,0.79,1.65,0.479,0.071,0.14,0.6,0.231
1627789,Timothe Luwawu-Cabarrot,1610612741,CHI,24.0,50,36,0.516,0.74,2.24,0.33,0.491,0.009,0.02,0.04,0.5,0.507,0.72,2.2,0.327
1627853,Ryan Arcidiacono,1610612741,CHI,25.0,80,68,0.398,0.86,2.05,0.421,0.628,0.005,0.01,0.03,0.5,0.393,0.85,2.03,0.42
203897,Zach LaVine,1610612741,CHI,24.0,62,55,0.112,0.77,2.02,0.384,0.548,0.013,0.11,0.24,0.467,0.099,0.66,1.77,0.373
1627782,Wayne Selden,1610612741,CHI,24.0,75,66,0.312,0.64,2.0,0.32,0.47,0.019,0.04,0.12,0.333,0.293,0.6,1.88,0.319
1629102,Brandon Sampson,1610612741,CHI,22.0,14,12,0.4,0.64,1.71,0.375,0.563,0.0,0.0,0.0,,0.4,0.64,1.71,0.375
1627739,Kris Dunn,1610612741,CHI,25.0,45,37,0.124,0.4,1.38,0.29,0.427,0.006,0.02,0.07,0.333,0.118,0.38,1.31,0.288
1628469,Antonio Blakeney,1610612741,CHI,22.0,57,35,0.182,0.51,1.26,0.403,0.59,0.02,0.04,0.14,0.25,0.162,0.47,1.12,0.422
1628990,Chandler Hutchison,1610612741,CHI,23.0,44,32,0.23,0.32,1.09,0.292,0.438,0.0,0.0,0.0,,0.23,0.32,1.09,0.292
1627885,Shaquille Harrison,1610612741,CHI,25.0,72,44,0.172,0.29,1.01,0.288,0.432,0.005,0.0,0.03,0.0,0.167,0.29,0.99,0.296
201577,Robin Lopez,1610612741,CHI,31.0,73,46,0.117,0.25,0.85,0.29,0.347,0.059,0.15,0.42,0.355,0.059,0.1,0.42,0.226
1627215,Walt Lemon Jr.,1610612741,CHI,26.0,6,3,0.059,0.33,0.83,0.4,0.6,0.0,0.0,0.0,,0.059,0.33,0.83,0.4
1628959,Rawle Alkins,1610612741,CHI,21.0,10,5,0.205,0.3,0.8,0.375,0.563,0.0,0.0,0.0,,0.205,0.3,0.8,0.375
1626245,Cristiano Felicio,1610612741,CHI,26.0,60,14,0.084,0.07,0.25,0.267,0.267,0.067,0.07,0.2,0.333,0.017,0.0,0.05,0.0
