player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
202331,Paul George,1610612760,OKC,29.0,76,76,0.403,247,642,0.385,0.477,0.202,128,322,0.398,0.201,119,320,0.372
201566,Russell Westbrook,1610612760,OKC,30.0,72,72,0.421,192,611,0.314,0.36,0.275,136,399,0.341,0.146,56,212,0.264
203471,Dennis Schröder,1610612760,OKC,25.0,78,77,0.395,169,429,0.394,0.428,0.302,140,328,0.427,0.093,29,101,0.287
101109,Raymond Felton,1610612760,OKC,35.0,33,25,0.459,24,62,0.387,0.411,0.333,21,45,0.467,0.126,3,17,0.176
202693,Markieff Morris,1610612760,OKC,29.0,58,38,0.129,16,62,0.258,0.266,0.116,15,56,0.268,0.012,1,6,0.167
1628390,Terrance Ferguson,1610612760,OKC,21.0,73,28,0.085,6,36,0.167,0.194,0.057,4,24,0.167,0.028,2,12,0.167
203924,Jerami Grant,1610612760,OKC,25.0,79,26,0.038,9,31,0.29,0.306,0.037,8,30,0.267,0.001,1,1,1.0
203457,Nerlens Noel,1610612760,OKC,25.0,76,16,0.066,7,18,0.389,0.389,0.066,7,18,0.389,0.0,0,0,
203518,Alex Abrines,1610612760,OKC,25.0,31,11,0.102,8,16,0.5,0.688,0.032,2,5,0.4,0.07,6,11,0.545
203500,Steven Adams,1610612760,OKC,25.0,79,14,0.019,7,15,0.467,0.467,0.019,7,15,0.467,0.0,0,0,
1629126,Deonte Burton,1610612760,OKC,25.0,32,12,0.159,5,13,0.385,0.385,0.134,5,11,0.455,0.024,0,2,0.0
1627846,Abdel Nader,1610612760,OKC,25.0,60,11,0.061,4,13,0.308,0.385,0.038,2,8,0.25,0.023,2,5,0.4
1628977,Hamidou Diallo,1610612760,OKC,20.0,50,10,0.061,3,10,0.3,0.3,0.061,3,10,0.3,0.0,0,0,
202335,Patrick Patterson,1610612760,OKC,30.0,62,7,0.041,3,9,0.333,0.333,0.032,3,7,0.429,0.009,0,2,0.0
1628393,Jawun Evans,1610612760,OKC,22.0,8,4,0.571,1,8,0.125,0.125,0.429,1,6,0.167,0.143,0,2,0.0
