player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
201942,DeMar DeRozan,1610612759,SAS,29.0,7,7,0.576,4.0,9.71,0.412,0.412,0.568,4.0,9.57,0.418,0.008,0.0,0.14,0.0
200746,LaMarcus Aldridge,1610612759,SAS,33.0,7,7,0.317,2.0,5.43,0.368,0.382,0.3,1.86,5.14,0.361,0.017,0.14,0.29,0.5
1628401,Derrick White,1610612759,SAS,24.0,7,7,0.307,1.43,3.29,0.435,0.478,0.2,1.14,2.14,0.533,0.107,0.29,1.14,0.25
200752,Rudy Gay,1610612759,SAS,32.0,7,7,0.338,1.14,3.29,0.348,0.37,0.294,1.0,2.86,0.35,0.044,0.14,0.43,0.333
201988,Patty Mills,1610612759,SAS,30.0,7,7,0.326,0.57,2.0,0.286,0.321,0.116,0.43,0.71,0.6,0.209,0.14,1.29,0.111
201158,Marco Belinelli,1610612759,SAS,33.0,7,7,0.368,0.43,2.0,0.214,0.214,0.237,0.43,1.29,0.333,0.132,0.0,0.71,0.0
1627854,Bryn Forbes,1610612759,SAS,25.0,7,6,0.232,0.86,1.86,0.462,0.462,0.214,0.86,1.71,0.5,0.018,0.0,0.14,0.0
1629022,Lonnie Walker IV,1610612759,SAS,20.0,6,3,0.625,0.17,0.83,0.2,0.2,0.5,0.17,0.67,0.25,0.125,0.0,0.17,0.0
202700,Donatas Motiejunas,1610612759,SAS,28.0,5,1,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,
202722,Dāvis Bertāns,1610612759,SAS,26.0,5,1,0.067,0.0,0.2,0.0,0.0,0.067,0.0,0.2,0.0,0.0,0.0,0.0,
