player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
203109,Jae Crowder,1610612748,MIA,29.0,21,21,0.715,2.33,6.81,0.343,0.514,0.015,0.0,0.14,0.0,0.7,2.33,6.67,0.35
1629130,Duncan Robinson,1610612748,MIA,26.0,21,21,0.694,2.43,5.71,0.425,0.638,0.006,0.0,0.05,0.0,0.688,2.43,5.67,0.429
201609,Goran Dragic,1610612748,MIA,34.0,17,17,0.265,1.53,4.18,0.366,0.535,0.015,0.12,0.24,0.5,0.25,1.41,3.94,0.358
1629639,Tyler Herro,1610612748,MIA,20.0,21,20,0.292,1.62,3.81,0.425,0.625,0.011,0.1,0.14,0.667,0.281,1.52,3.67,0.416
203482,Kelly Olynyk,1610612748,MIA,29.0,17,16,0.484,0.94,2.71,0.348,0.522,0.011,0.0,0.06,0.0,0.474,0.94,2.65,0.356
1629134,Kendrick Nunn,1610612748,MIA,24.0,15,14,0.385,0.73,2.33,0.314,0.457,0.022,0.07,0.13,0.5,0.363,0.67,2.2,0.303
2738,Andre Iguodala,1610612748,MIA,36.0,21,20,0.585,0.67,1.81,0.368,0.553,0.015,0.0,0.05,0.0,0.569,0.67,1.76,0.378
1628389,Bam Adebayo,1610612748,MIA,22.0,19,16,0.152,0.89,1.74,0.515,0.515,0.152,0.89,1.74,0.515,0.0,0.0,0.0,
203086,Meyers Leonard,1610612748,MIA,28.0,3,3,0.5,0.67,1.33,0.5,0.75,0.0,0.0,0.0,,0.5,0.67,1.33,0.5
202710,Jimmy Butler III,1610612748,MIA,30.0,21,14,0.079,0.48,1.1,0.435,0.609,0.01,0.1,0.14,0.667,0.068,0.38,0.95,0.4
203524,Solomon Hill,1610612748,MIA,29.0,7,2,0.444,0.14,0.57,0.25,0.375,0.0,0.0,0.0,,0.444,0.14,0.57,0.25
1627884,Derrick Jones Jr.,1610612748,MIA,23.0,15,5,0.412,0.27,0.47,0.571,0.857,0.0,0.0,0.0,,0.412,0.27,0.47,0.571
