player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
203114,Khris Middleton,1610612749,MIL,31.0,5,5,1.0,40,86,0.465,0.541,0.628,27,54,0.5,0.372,13,32,0.406
201950,Jrue Holiday,1610612749,MIL,33.0,5,5,1.0,34,85,0.4,0.471,0.506,22,43,0.512,0.494,12,42,0.286
201572,Brook Lopez,1610612749,MIL,35.0,5,5,1.0,39,67,0.582,0.634,0.746,32,50,0.64,0.254,7,17,0.412
203507,Giannis Antetokounmpo,1610612749,MIL,28.0,3,3,1.0,28,53,0.528,0.528,0.943,28,50,0.56,0.057,0,3,0.0
1626171,Bobby Portis,1610612749,MIL,28.0,5,5,1.0,20,41,0.488,0.549,0.561,15,23,0.652,0.439,5,18,0.278
1628960,Grayson Allen,1610612749,MIL,27.0,5,5,1.0,19,41,0.463,0.634,0.293,5,12,0.417,0.707,14,29,0.483
1626192,Pat Connaughton,1610612749,MIL,30.0,4,4,1.0,17,30,0.567,0.75,0.233,6,7,0.857,0.767,11,23,0.478
204060,Joe Ingles,1610612749,MIL,35.0,5,5,1.0,12,23,0.522,0.739,0.13,2,3,0.667,0.87,10,20,0.5
203109,Jae Crowder,1610612749,MIL,32.0,4,3,1.0,3,13,0.231,0.231,0.538,3,7,0.429,0.462,0,6,0.0
202083,Wesley Matthews,1610612749,MIL,36.0,2,2,1.0,4,9,0.444,0.667,0.222,0,2,0.0,0.778,4,7,0.571
1628975,Jevon Carter,1610612749,MIL,27.0,4,3,1.0,2,9,0.222,0.278,0.222,1,2,0.5,0.778,1,7,0.143
1630699,MarJon Beauchamp,1610612749,MIL,22.0,2,1,1.0,2,3,0.667,0.833,0.667,1,2,0.5,0.333,1,1,1.0
201609,Goran Dragic,1610612749,MIL,37.0,2,1,1.0,0,2,0.0,0.0,0.5,0,1,0.0,0.5,0,1,0.0
203086,Meyers Leonard,1610612749,MIL,31.0,2,1,1.0,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,0,
