player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1629675,Naz Reid,1610612750,MIN,24.0,81,81,0.464,167,394,0.424,0.633,0.002,2,2,1.0,0.462,165,392,0.421
1626157,Karl-Anthony Towns,1610612750,MIN,28.0,62,62,0.303,122,288,0.424,0.628,0.013,4,12,0.333,0.29,118,276,0.428
1629638,Nickeil Alexander-Walker,1610612750,MIN,25.0,82,81,0.493,110,265,0.415,0.623,0.002,0,1,0.0,0.491,110,264,0.417
1630183,Jaden McDaniels,1610612750,MIN,23.0,72,69,0.373,81,234,0.346,0.517,0.006,1,4,0.25,0.366,80,230,0.348
201144,Mike Conley,1610612750,MIN,36.0,76,70,0.311,86,200,0.43,0.64,0.005,2,3,0.667,0.306,84,197,0.426
1630162,Anthony Edwards,1610612750,MIN,22.0,79,72,0.117,73,182,0.401,0.591,0.009,4,14,0.286,0.108,69,168,0.411
1629162,Jordan McLaughlin,1610612750,MIN,28.0,56,35,0.517,36,75,0.48,0.713,0.007,1,1,1.0,0.51,35,74,0.473
203937,Kyle Anderson,1610612750,MIN,30.0,79,37,0.134,21,58,0.362,0.448,0.042,11,18,0.611,0.092,10,40,0.25
1628420,Monté Morris,1610612750,MIN,29.0,33,27,0.353,26,54,0.481,0.704,0.013,2,2,1.0,0.34,24,52,0.462
1630568,Luka Garza,1610612750,MIN,25.0,25,13,0.413,9,31,0.29,0.419,0.013,1,1,1.0,0.4,8,30,0.267
203497,Rudy Gobert,1610612750,MIN,32.0,76,26,0.049,11,30,0.367,0.367,0.044,11,27,0.407,0.005,0,3,0.0
203933,T.J. Warren,1610612750,MIN,30.0,11,8,0.375,4,15,0.267,0.3,0.075,3,3,1.0,0.3,1,12,0.083
1630227,Daishen Nix,1610612750,MIN,22.0,15,7,0.458,3,11,0.273,0.409,0.0,0,0,,0.458,3,11,0.273
1631169,Josh Minott,1610612750,MIN,21.0,32,8,0.25,4,9,0.444,0.667,0.0,0,0,,0.25,4,9,0.444
1631159,Leonard Miller,1610612750,MIN,20.0,17,5,0.3,2,6,0.333,0.5,0.05,0,1,0.0,0.25,2,5,0.4
1631111,Wendell Moore Jr.,1610612750,MIN,22.0,25,5,0.278,1,5,0.2,0.2,0.056,1,1,1.0,0.222,0,4,0.0
