player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
201142,Kevin Durant,1610612756,PHX,35.0,74,74,1.0,733,1409,0.52,0.578,0.716,569,1009,0.564,0.284,164,400,0.41
1626164,Devin Booker,1610612756,PHX,27.0,67,67,1.0,630,1281,0.492,0.55,0.679,480,870,0.552,0.321,150,411,0.365
203078,Bradley Beal,1610612756,PHX,31.0,51,52,1.0,354,695,0.509,0.578,0.676,258,470,0.549,0.324,96,225,0.427
1628960,Grayson Allen,1610612756,PHX,28.0,73,74,1.0,324,652,0.497,0.646,0.348,129,227,0.568,0.652,195,425,0.459
203994,Jusuf Nurkić,1610612756,PHX,29.0,74,74,1.0,311,614,0.507,0.524,0.855,289,525,0.55,0.145,22,89,0.247
201569,Eric Gordon,1610612756,PHX,35.0,67,67,1.0,274,614,0.446,0.568,0.358,124,220,0.564,0.642,150,394,0.381
1626220,Royce O'Neale,1610612756,PHX,31.0,77,77,1.0,209,523,0.4,0.546,0.214,56,112,0.5,0.786,153,411,0.372
1631223,David Roddy,1610612756,PHX,23.0,64,57,1.0,160,394,0.406,0.467,0.596,112,235,0.477,0.404,48,159,0.302
1629234,Drew Eubanks,1610612756,PHX,27.0,73,70,1.0,149,247,0.603,0.609,0.988,146,244,0.598,0.012,3,3,1.0
1629006,Josh Okogie,1610612756,PHX,25.0,59,52,1.0,86,204,0.422,0.493,0.544,57,111,0.514,0.456,29,93,0.312
1629626,Bol Bol,1610612756,PHX,24.0,41,33,1.0,85,142,0.599,0.673,0.648,64,92,0.696,0.352,21,50,0.42
1629642,Nassir Little,1610612756,PHX,24.0,45,37,1.0,57,124,0.46,0.544,0.435,36,54,0.667,0.565,21,70,0.3
201152,Thaddeus Young,1610612756,PHX,36.0,33,29,1.0,65,108,0.602,0.606,0.935,64,101,0.634,0.065,1,7,0.143
1630177,Theo Maledon,1610612756,PHX,23.0,17,14,1.0,20,70,0.286,0.321,0.571,15,40,0.375,0.429,5,30,0.167
1630240,Saben Lee,1610612756,PHX,25.0,22,18,1.0,20,52,0.385,0.404,0.731,18,38,0.474,0.269,2,14,0.143
1630688,Ish Wainright,1610612756,PHX,29.0,11,7,1.0,7,24,0.292,0.438,0.167,0,4,0.0,0.833,7,20,0.35
1628962,Udoka Azubuike,1610612756,PHX,24.0,16,9,1.0,16,23,0.696,0.696,1.0,16,23,0.696,0.0,0,0,
202738,Isaiah Thomas,1610612756,PHX,35.0,6,5,1.0,3,10,0.3,0.4,0.6,1,6,0.167,0.4,2,4,0.5
