player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
200794,Paul Millsap,1610612737,ATL,31.0,10,10,0.578,44,74,0.595,0.595,0.578,44,74,0.595,0.0,0,0,
201143,Al Horford,1610612737,ATL,30.0,10,10,0.487,36,55,0.655,0.655,0.487,36,55,0.655,0.0,0,0,
201952,Jeff Teague,1610612737,ATL,28.0,10,10,0.472,30,50,0.6,0.6,0.472,30,50,0.6,0.0,0,0,
203145,Kent Bazemore,1610612737,ATL,26.0,10,10,0.333,23,37,0.622,0.622,0.333,23,37,0.622,0.0,0,0,
203471,Dennis Schröder,1610612737,ATL,22.0,10,9,0.391,26,36,0.722,0.722,0.391,26,36,0.722,0.0,0,0,
203118,Mike Scott,1610612737,ATL,27.0,10,7,0.59,17,23,0.739,0.739,0.59,17,23,0.739,0.0,0,0,
200757,Thabo Sefolosha,1610612737,ATL,32.0,10,7,0.4,12,18,0.667,0.667,0.4,12,18,0.667,0.0,0,0,
2743,Kris Humphries,1610612737,ATL,31.0,4,4,0.429,7,12,0.583,0.583,0.429,7,12,0.583,0.0,0,0,
203488,Mike Muscala,1610612737,ATL,24.0,9,5,0.474,5,9,0.556,0.556,0.474,5,9,0.556,0.0,0,0,
2594,Kyle Korver,1610612737,ATL,35.0,10,6,0.11,6,8,0.75,0.75,0.11,6,8,0.75,0.0,0,0,
203501,Tim Hardaway Jr.,1610612737,ATL,24.0,9,3,0.269,4,7,0.571,0.571,0.269,4,7,0.571,0.0,0,0,
203934,Lamar Patterson,1610612737,ATL,24.0,4,1,0.333,1,2,0.5,0.5,0.333,1,2,0.5,0.0,0,0,
