player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
201569,Eric Gordon,1610612745,HOU,29.0,69,69,0.44,2.28,5.84,0.39,0.005809999999999999,0.005,0.04,0.07,0.6,0.434,2.23,5.77,0.387
2772,Trevor Ariza,1610612745,HOU,33.0,67,66,0.598,2.22,5.63,0.395,0.0059299999999999995,0.006,0.0,0.06,0.0,0.592,2.22,5.57,0.399
101123,Gerald Green,1610612745,HOU,32.0,41,39,0.542,1.93,5.37,0.359,0.00532,0.02,0.07,0.2,0.375,0.522,1.85,5.17,0.358
201583,Ryan Anderson,1610612745,HOU,30.0,66,64,0.662,1.79,4.68,0.382,0.00573,0.002,0.0,0.02,0.0,0.66,1.79,4.67,0.383
200782,P.J. Tucker,1610612745,HOU,33.0,82,81,0.751,1.45,3.85,0.377,0.005540000000000001,0.048,0.09,0.24,0.35,0.703,1.37,3.61,0.378
201601,Luc Mbah a Moute,1610612745,HOU,31.0,61,55,0.517,0.93,2.7,0.345,0.005180000000000001,0.006,0.0,0.03,0.0,0.511,0.93,2.67,0.35
2207,Joe Johnson,1610612745,HOU,37.0,55,53,0.389,0.73,2.53,0.288,0.00424,0.014,0.04,0.09,0.4,0.375,0.69,2.44,0.284
1628935,Aaron Jackson,1610612745,HOU,32.0,1,1,0.222,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.222,0.0,2.0,0.0
201935,James Harden,1610612745,HOU,28.0,72,57,0.091,0.63,1.71,0.366,0.00545,0.002,0.01,0.04,0.333,0.089,0.61,1.67,0.367
1626154,RJ Hunter,1610612745,HOU,24.0,5,2,0.3,0.2,1.2,0.167,0.0025,0.0,0.0,0.0,,0.3,0.2,1.2,0.167
101108,Chris Paul,1610612745,HOU,33.0,58,36,0.079,0.43,1.07,0.403,0.005889999999999999,0.008,0.03,0.1,0.333,0.072,0.4,0.97,0.411
1627753,Zhou Qi,1610612745,HOU,22.0,18,10,0.633,0.11,1.06,0.105,0.00158,0.0,0.0,0.0,,0.633,0.11,1.06,0.105
1627778,Chinanu Onuaku,1610612745,HOU,21.0,1,1,0.2,0.0,1.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,
203900,Markel Brown,1610612745,HOU,26.0,4,2,0.429,0.0,0.75,0.0,0.0,0.0,0.0,0.0,,0.429,0.0,0.75,0.0
2403,Nene,1610612745,HOU,35.0,52,27,0.162,0.29,0.67,0.429,0.0042899999999999995,0.157,0.29,0.65,0.441,0.005,0.0,0.02,0.0
201628,Bobby Brown,1610612745,HOU,33.0,20,6,0.214,0.15,0.6,0.25,0.00375,0.0,0.0,0.0,,0.214,0.15,0.6,0.25
204028,Tarik Black,1610612745,HOU,26.0,51,8,0.094,0.02,0.22,0.091,0.00136,0.026,0.0,0.06,0.0,0.068,0.02,0.16,0.125
201148,Brandan Wright,1610612745,HOU,30.0,28,3,0.053,0.11,0.18,0.6,0.006,0.053,0.11,0.18,0.6,0.0,0.0,0.0,
203991,Clint Capela,1610612745,HOU,24.0,74,2,0.003,0.01,0.03,0.5,0.005,0.003,0.01,0.03,0.5,0.0,0.0,0.0,
