player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
202703,Nikola Mirotic,1610612740,NOP,27.0,9,9,0.455,17,45,0.378,0.00567,0.071,0,7,0.0,0.384,17,38,0.447
203076,Anthony Davis,1610612740,NOP,25.0,9,9,0.206,14,41,0.341,0.00415,0.106,8,21,0.381,0.101,6,20,0.3
201950,Jrue Holiday,1610612740,NOP,28.0,9,9,0.142,8,23,0.348,0.00522,0.006,0,1,0.0,0.136,8,22,0.364
203546,Ian Clark,1610612740,NOP,27.0,9,7,0.339,9,21,0.429,0.00619,0.048,1,3,0.333,0.29,8,18,0.444
202734,E'Twaun Moore,1610612740,NOP,29.0,9,9,0.263,7,21,0.333,0.005,0.025,0,2,0.0,0.238,7,19,0.368
203121,Darius Miller,1610612740,NOP,28.0,9,9,0.656,7,21,0.333,0.005,0.031,0,1,0.0,0.625,7,20,0.35
203524,Solomon Hill,1610612740,NOP,27.0,9,6,0.773,6,17,0.353,0.00529,0.045,0,1,0.0,0.727,6,16,0.375
200765,Rajon Rondo,1610612740,NOP,32.0,9,5,0.082,4,7,0.571,0.00857,0.0,0,0,,0.082,4,7,0.571
202348,Jordan Crawford,1610612740,NOP,29.0,2,2,0.231,1,3,0.333,0.005,0.0,0,0,,0.231,1,3,0.333
1627767,Cheick Diallo,1610612740,NOP,21.0,7,2,0.2,0,2,0.0,0.0,0.2,0,2,0.0,0.0,0,0,
2731,Emeka Okafor,1610612740,NOP,35.0,1,1,1.0,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,0,
