player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
203935,Marcus Smart,1610612738,BOS,26.0,60,56,0.362,79,247,0.32,0.472,0.012,4,8,0.5,0.35,75,239,0.314
1627759,Jaylen Brown,1610612738,BOS,23.0,57,56,0.278,104,246,0.423,0.624,0.011,5,10,0.5,0.266,99,236,0.419
202330,Gordon Hayward,1610612738,BOS,30.0,52,51,0.27,78,189,0.413,0.585,0.051,13,36,0.361,0.219,65,153,0.425
1628369,Jayson Tatum,1610612738,BOS,22.0,66,60,0.144,71,176,0.403,0.582,0.015,8,18,0.444,0.129,63,158,0.399
202689,Kemba Walker,1610612738,BOS,30.0,56,52,0.164,62,146,0.425,0.63,0.003,2,3,0.667,0.161,60,143,0.42
1628464,Daniel Theis,1610612738,BOS,28.0,65,60,0.329,56,139,0.403,0.514,0.116,25,49,0.51,0.213,31,90,0.344
1628400,Semi Ojeleye,1610612738,BOS,25.0,69,50,0.643,49,126,0.389,0.567,0.046,4,9,0.444,0.597,45,117,0.385
1629684,Grant Williams,1610612738,BOS,21.0,69,48,0.417,23,88,0.261,0.375,0.028,3,6,0.5,0.389,20,82,0.244
202954,Brad Wanamaker,1610612738,BOS,30.0,71,42,0.171,29,62,0.468,0.694,0.011,1,4,0.25,0.16,28,58,0.483
1629035,Carsen Edwards,1610612738,BOS,22.0,37,25,0.344,13,44,0.295,0.432,0.023,1,3,0.333,0.32,12,41,0.293
1629750,Javonte Green,1610612738,BOS,26.0,48,16,0.214,9,27,0.333,0.481,0.016,1,2,0.5,0.198,8,25,0.32
1629641,Romeo Langford,1610612738,BOS,20.0,32,15,0.338,5,27,0.185,0.278,0.013,0,1,0.0,0.325,5,26,0.192
202683,Enes Freedom,1610612738,BOS,28.0,58,16,0.058,6,20,0.3,0.325,0.037,5,13,0.385,0.02,1,7,0.143
1629738,Vincent Poirier,1610612738,BOS,26.0,22,9,0.278,4,10,0.4,0.45,0.222,3,8,0.375,0.056,1,2,0.5
1629682,Tremont Waters,1610612738,BOS,22.0,11,6,0.204,1,10,0.1,0.1,0.02,1,1,1.0,0.184,0,9,0.0
1629057,Robert Williams III,1610612738,BOS,22.0,29,3,0.034,1,3,0.333,0.333,0.034,1,3,0.333,0.0,0,0,
