player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
203944,Julius Randle,1610612752,NYK,25.0,64,64,1.0,7.22,15.67,0.461,0.493,0.77,6.22,12.06,0.516,0.23,1.0,3.61,0.277
1629628,RJ Barrett,1610612752,NYK,20.0,56,56,1.0,5.2,12.93,0.402,0.445,0.728,4.07,9.41,0.433,0.272,1.13,3.52,0.32
203901,Elfrid Payton,1610612752,NYK,26.0,45,45,1.0,4.29,9.78,0.439,0.455,0.843,3.98,8.24,0.482,0.157,0.31,1.53,0.203
1626171,Bobby Portis,1610612752,NYK,25.0,66,66,1.0,4.02,8.89,0.451,0.509,0.681,3.0,6.06,0.495,0.319,1.02,2.83,0.358
203493,Reggie Bullock Jr.,1610612752,NYK,29.0,29,28,1.0,3.1,7.72,0.402,0.484,0.504,1.83,3.9,0.469,0.496,1.28,3.83,0.333
1628372,Dennis Smith Jr.,1610612752,NYK,22.0,34,34,1.0,2.12,6.21,0.341,0.379,0.744,1.65,4.62,0.357,0.256,0.47,1.59,0.296
1628995,Kevin Knox II,1610612752,NYK,20.0,65,65,1.0,2.22,6.14,0.361,0.442,0.501,1.22,3.08,0.395,0.499,1.0,3.06,0.327
1628422,Damyean Dotson,1610612752,NYK,26.0,48,46,1.0,2.5,6.04,0.414,0.516,0.438,1.27,2.65,0.48,0.562,1.23,3.4,0.362
1628373,Frank Ntilikina,1610612752,NYK,21.0,57,56,1.0,2.3,5.84,0.393,0.459,0.589,1.53,3.44,0.444,0.411,0.77,2.4,0.321
1629011,Mitchell Robinson,1610612752,NYK,22.0,61,61,1.0,4.15,5.59,0.742,0.742,1.0,4.15,5.59,0.742,0.0,0.0,0.0,
201961,Wayne Ellington,1610612752,NYK,32.0,36,34,1.0,1.69,4.83,0.351,0.494,0.178,0.31,0.86,0.355,0.822,1.39,3.97,0.35
1629033,Theo Pinson,1610612752,NYK,24.0,33,29,1.0,1.36,4.7,0.29,0.339,0.484,0.91,2.27,0.4,0.516,0.45,2.42,0.188
201959,Taj Gibson,1610612752,NYK,35.0,62,61,1.0,2.68,4.6,0.582,0.589,0.951,2.61,4.37,0.598,0.049,0.06,0.23,0.286
203090,Maurice Harkless,1610612752,NYK,27.0,62,60,1.0,2.27,4.53,0.502,0.56,0.655,1.74,2.97,0.587,0.345,0.53,1.56,0.34
1629019,Allonzo Trier,1610612752,NYK,24.0,24,24,1.0,2.13,4.42,0.481,0.571,0.5,1.33,2.21,0.604,0.5,0.79,2.21,0.358
1628443,Kadeem Allen,1610612752,NYK,27.0,10,10,1.0,1.9,4.4,0.432,0.489,0.636,1.4,2.8,0.5,0.364,0.5,1.6,0.313
1629649,Ignas Brazdeikis,1610612752,NYK,21.0,9,8,1.0,0.67,2.44,0.273,0.295,0.591,0.56,1.44,0.385,0.409,0.11,1.0,0.111
1629607,Jared Harper,1610612752,NYK,22.0,3,3,1.0,0.33,1.33,0.25,0.25,0.5,0.33,0.67,0.5,0.5,0.0,0.67,0.0
