player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1627736,Malik Beasley,1610612750,MIN,24.0,37,37,0.398,2.68,6.46,0.414,0.613,0.015,0.11,0.24,0.444,0.383,2.57,6.22,0.413
1626157,Karl-Anthony Towns,1610612750,MIN,25.0,50,50,0.313,2.26,5.48,0.412,0.602,0.026,0.18,0.46,0.391,0.287,2.08,5.02,0.414
1626156,D'Angelo Russell,1610612750,MIN,25.0,42,41,0.252,1.52,3.9,0.39,0.57,0.02,0.12,0.31,0.385,0.232,1.4,3.6,0.391
1630162,Anthony Edwards,1610612750,MIN,19.0,72,72,0.204,1.14,3.43,0.332,0.496,0.004,0.01,0.07,0.2,0.2,1.13,3.36,0.335
1627823,Juancho Hernangomez,1610612750,MIN,25.0,52,49,0.537,1.04,3.08,0.338,0.506,0.003,0.0,0.02,0.0,0.534,1.04,3.06,0.34
1630183,Jaden McDaniels,1610612750,MIN,20.0,63,58,0.501,1.1,2.92,0.375,0.557,0.005,0.03,0.03,1.0,0.496,1.06,2.89,0.368
1629669,Jaylen Nowell,1610612750,MIN,21.0,42,39,0.328,0.88,2.62,0.336,0.5,0.009,0.02,0.07,0.333,0.319,0.86,2.55,0.336
201937,Ricky Rubio,1610612750,MIN,30.0,68,63,0.357,0.85,2.62,0.326,0.472,0.026,0.09,0.19,0.462,0.331,0.76,2.43,0.315
1629675,Naz Reid,1610612750,MIN,21.0,70,61,0.294,0.87,2.44,0.357,0.532,0.005,0.01,0.04,0.333,0.289,0.86,2.4,0.357
1629006,Josh Okogie,1610612750,MIN,22.0,59,44,0.374,0.42,1.61,0.263,0.389,0.012,0.02,0.05,0.333,0.362,0.41,1.56,0.261
1627774,Jake Layman,1610612750,MIN,27.0,45,30,0.353,0.44,1.44,0.308,0.462,0.005,0.0,0.02,0.0,0.348,0.44,1.42,0.313
1629162,Jordan McLaughlin,1610612750,MIN,25.0,51,35,0.273,0.51,1.29,0.394,0.591,0.008,0.0,0.04,0.0,0.264,0.51,1.25,0.406
1629633,Jarrett Culver,1610612750,MIN,22.0,34,23,0.25,0.35,1.24,0.286,0.429,0.0,0.0,0.0,,0.25,0.35,1.24,0.286
1629020,Jarred Vanderbilt,1610612750,MIN,22.0,64,3,0.017,0.02,0.06,0.25,0.375,0.004,0.0,0.02,0.0,0.013,0.02,0.05,0.333
