player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1629661,Cameron Johnson,1610612756,PHX,26.0,65,64,0.624,2.4,5.69,0.422,0.63,0.02,0.03,0.18,0.167,0.604,2.37,5.51,0.43
203109,Jae Crowder,1610612756,PHX,31.0,67,67,0.636,1.93,5.16,0.373,0.535,0.068,0.25,0.55,0.459,0.568,1.67,4.61,0.362
1629013,Landry Shamet,1610612756,PHX,25.0,69,63,0.573,1.59,4.03,0.396,0.585,0.019,0.07,0.13,0.556,0.555,1.52,3.9,0.39
1628969,Mikal Bridges,1610612756,PHX,25.0,81,78,0.362,1.44,3.78,0.382,0.556,0.034,0.14,0.36,0.379,0.328,1.31,3.42,0.383
1626164,Devin Booker,1610612756,PHX,25.0,67,63,0.177,1.61,3.7,0.435,0.615,0.031,0.28,0.66,0.432,0.146,1.33,3.04,0.436
1628470,Torrey Craig,1610612756,PHX,31.0,78,73,0.489,0.92,2.76,0.335,0.495,0.009,0.04,0.05,0.75,0.48,0.88,2.71,0.327
1629028,Deandre Ayton,1610612756,PHX,23.0,58,55,0.215,1.38,2.57,0.537,0.557,0.192,1.28,2.29,0.556,0.023,0.1,0.28,0.375
1626166,Cameron Payne,1610612756,PHX,27.0,57,48,0.197,0.7,2.0,0.351,0.526,0.005,0.0,0.05,0.0,0.192,0.7,1.95,0.36
1626163,Frank Kaminsky,1610612756,PHX,29.0,9,6,0.277,0.67,2.0,0.333,0.472,0.046,0.11,0.33,0.333,0.231,0.56,1.67,0.333
1630688,Ish Wainright,1610612756,PHX,27.0,44,29,0.62,0.43,1.41,0.306,0.46,0.04,0.0,0.09,0.0,0.58,0.43,1.32,0.328
1630994,Gabriel Lundberg,1610612756,PHX,27.0,4,2,0.263,0.5,1.25,0.4,0.6,0.053,0.0,0.25,0.0,0.211,0.5,1.0,0.5
1628988,Aaron Holiday,1610612756,PHX,25.0,63,40,0.222,0.41,1.19,0.347,0.52,0.003,0.0,0.02,0.0,0.219,0.41,1.17,0.351
1630640,MJ Walker,1610612756,PHX,24.0,2,1,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,1.0,0.0
1628238,Paris Bass,1610612756,PHX,26.0,1,1,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.25,0.0,1.0,0.0
101108,Chris Paul,1610612756,PHX,37.0,64,38,0.076,0.34,0.86,0.4,0.564,0.006,0.06,0.06,1.0,0.071,0.28,0.8,0.353
1628382,Justin Jackson,1610612756,PHX,27.0,6,4,0.5,0.17,0.83,0.2,0.3,0.0,0.0,0.0,,0.5,0.17,0.83,0.2
1627846,Abdel Nader,1610612756,PHX,28.0,14,7,0.314,0.29,0.79,0.364,0.545,0.0,0.0,0.0,,0.314,0.29,0.79,0.364
203901,Elfrid Payton,1610612756,PHX,28.0,49,13,0.101,0.06,0.35,0.176,0.265,0.012,0.0,0.04,0.0,0.089,0.06,0.31,0.2
201580,JaVale McGee,1610612756,PHX,34.0,74,18,0.05,0.08,0.31,0.261,0.283,0.037,0.07,0.23,0.294,0.013,0.01,0.08,0.167
202687,Bismack Biyombo,1610612756,PHX,29.0,35,7,0.056,0.03,0.23,0.125,0.125,0.056,0.03,0.23,0.125,0.0,0.0,0.0,
