player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
203507,Giannis Antetokounmpo,1610612749,MIL,28.0,63,63,1.0,707,1279,0.553,0.571,0.866,660,1108,0.596,0.134,47,171,0.275
201950,Jrue Holiday,1610612749,MIL,33.0,67,67,1.0,490,1023,0.479,0.556,0.598,332,612,0.542,0.402,158,411,0.384
201572,Brook Lopez,1610612749,MIL,35.0,78,78,1.0,477,899,0.531,0.606,0.595,341,535,0.637,0.405,136,364,0.374
1626171,Bobby Portis,1610612749,MIL,28.0,70,70,1.0,398,803,0.496,0.555,0.68,303,546,0.555,0.32,95,257,0.37
1628975,Jevon Carter,1610612749,MIL,27.0,81,80,1.0,239,565,0.423,0.549,0.404,97,228,0.425,0.596,142,337,0.421
1628960,Grayson Allen,1610612749,MIL,27.0,72,72,1.0,245,557,0.44,0.571,0.343,99,191,0.518,0.657,146,366,0.399
1626192,Pat Connaughton,1610612749,MIL,30.0,61,60,1.0,165,421,0.392,0.521,0.235,56,99,0.566,0.765,109,322,0.339
203114,Khris Middleton,1610612749,MIL,31.0,33,33,1.0,177,406,0.436,0.499,0.601,126,244,0.516,0.399,51,162,0.315
201609,Goran Dragic,1610612749,MIL,37.0,57,56,1.0,140,332,0.422,0.5,0.566,88,188,0.468,0.434,52,144,0.361
204060,Joe Ingles,1610612749,MIL,35.0,46,46,1.0,108,248,0.435,0.603,0.181,25,45,0.556,0.819,83,203,0.409
1630699,MarJon Beauchamp,1610612749,MIL,22.0,52,47,1.0,96,243,0.395,0.492,0.416,49,101,0.485,0.584,47,142,0.331
202083,Wesley Matthews,1610612749,MIL,36.0,52,49,1.0,58,160,0.363,0.484,0.225,19,36,0.528,0.775,39,124,0.315
1631260,AJ Green,1610612749,MIL,23.0,35,27,1.0,53,125,0.424,0.6,0.16,9,20,0.45,0.84,44,105,0.419
203109,Jae Crowder,1610612749,MIL,32.0,18,18,1.0,45,94,0.479,0.606,0.415,21,39,0.538,0.585,24,55,0.436
201586,Serge Ibaka,1610612749,MIL,33.0,16,16,1.0,26,54,0.481,0.537,0.667,20,36,0.556,0.333,6,18,0.333
203648,Thanasis Antetokounmpo,1610612749,MIL,30.0,37,17,1.0,20,46,0.435,0.435,0.826,20,38,0.526,0.174,0,8,0.0
1629623,Lindell Wigginton,1610612749,MIL,25.0,7,5,1.0,18,37,0.486,0.568,0.514,12,19,0.632,0.486,6,18,0.333
203086,Meyers Leonard,1610612749,MIL,31.0,9,9,1.0,14,29,0.483,0.603,0.379,7,11,0.636,0.621,7,18,0.389
