player_id,player,team_id,team,age,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1628378,Donovan Mitchell,1610612739,CLE,28.0,9,9,0.454,5.56,9.78,0.568,0.568,0.454,5.56,9.78,0.568,0.0,0.0,0.0,
1630596,Evan Mobley,1610612739,CLE,23.0,8,8,0.563,4.38,6.13,0.714,0.714,0.563,4.38,6.13,0.714,0.0,0.0,0.0,
1628386,Jarrett Allen,1610612739,CLE,27.0,9,9,0.885,4.33,6.0,0.722,0.722,0.885,4.33,6.0,0.722,0.0,0.0,0.0,
1629636,Darius Garland,1610612739,CLE,25.0,5,5,0.29,2.8,4.0,0.7,0.7,0.29,2.8,4.0,0.7,0.0,0.0,0.0,
1629660,Ty Jerome,1610612739,CLE,27.0,9,8,0.315,1.22,3.22,0.379,0.379,0.315,1.22,3.22,0.379,0.0,0.0,0.0,
1629631,De'Andre Hunter,1610612739,CLE,27.0,8,7,0.397,1.38,3.13,0.44,0.44,0.397,1.38,3.13,0.44,0.0,0.0,0.0,
1629622,Max Strus,1610612739,CLE,29.0,9,7,0.247,1.22,2.44,0.5,0.5,0.247,1.22,2.44,0.5,0.0,0.0,0.0,
202684,Tristan Thompson,1610612739,CLE,34.0,3,2,0.833,0.67,1.67,0.4,0.4,0.833,0.67,1.67,0.4,0.0,0.0,0.0,
1630171,Isaac Okoro,1610612739,CLE,24.0,9,7,0.467,1.0,1.56,0.643,0.643,0.467,1.0,1.56,0.643,0.0,0.0,0.0,
1642281,Jaylon Tyson,1610612739,CLE,22.0,4,2,0.4,0.5,1.5,0.333,0.333,0.4,0.5,1.5,0.333,0.0,0.0,0.0,
1641854,Craig Porter Jr.,1610612739,CLE,25.0,6,5,0.583,0.83,1.17,0.714,0.714,0.583,0.83,1.17,0.714,0.0,0.0,0.0,
1629750,Javonte Green,1610612739,CLE,31.0,6,4,0.5,0.5,0.83,0.6,0.6,0.5,0.5,0.83,0.6,0.0,0.0,0.0,
1629731,Dean Wade,1610612739,CLE,28.0,9,3,0.222,0.33,0.44,0.75,0.75,0.222,0.33,0.44,0.75,0.0,0.0,0.0,
1630241,Sam Merrill,1610612739,CLE,29.0,8,1,0.025,0.13,0.13,1.0,1.0,0.025,0.13,0.13,1.0,0.0,0.0,0.0,
