game_id,game_date,away_team,home_team,game_no,pf,opp_pf
21600013,2016-10-26,HOU,LAL,1,114,120.0
21600023,2016-10-28,HOU,DAL,2,106,98.0
21600041,2016-10-30,DAL,HOU,3,93,92.0
21600047,2016-11-01,HOU,CLE,4,120,128.0
21600058,2016-11-02,HOU,NYK,5,118,99.0
21600084,2016-11-05,HOU,ATL,6,97,112.0
21600094,2016-11-07,HOU,WAS,7,114,106.0
21600114,2016-11-09,HOU,SAS,8,101,99.0
21600134,2016-11-12,SAS,HOU,9,100,106.0
21600149,2016-11-14,PHI,HOU,10,115,88.0
21600164,2016-11-16,HOU,OKC,11,103,105.0
21600171,2016-11-17,POR,HOU,12,126,109.0
21600184,2016-11-19,UTA,HOU,13,111,102.0
21600203,2016-11-21,HOU,DET,14,99,96.0
21600219,2016-11-23,TOR,HOU,15,102,115.0
21600239,2016-11-25,HOU,SAC,16,117,104.0
21600251,2016-11-27,HOU,POR,17,130,114.0
21600265,2016-11-29,HOU,UTA,18,101,120.0
21600281,2016-12-01,HOU,GSW,19,132,127.0
21600290,2016-12-02,HOU,DEN,20,128,110.0
21600311,2016-12-05,BOS,HOU,21,107,106.0
21600326,2016-12-07,LAL,HOU,22,134,95.0
21600341,2016-12-09,HOU,OKC,23,102,99.0
21600352,2016-12-10,DAL,HOU,24,109,87.0
21600364,2016-12-12,BKN,HOU,25,122,118.0
21600380,2016-12-14,SAC,HOU,26,132,98.0
21600395,2016-12-16,NOP,HOU,27,122,100.0
21600403,2016-12-17,HOU,MIN,28,111,109.0
21600425,2016-12-20,SAS,HOU,29,100,102.0
21600435,2016-12-21,HOU,PHX,30,125,111.0
21600448,2016-12-23,HOU,MEM,31,109,115.0
21600467,2016-12-26,PHX,HOU,32,131,115.0
21600474,2016-12-27,HOU,DAL,33,123,107.0
21600496,2016-12-30,LAC,HOU,34,140,116.0
21600504,2016-12-31,NYK,HOU,35,129,122.0
21600518,2017-01-02,WAS,HOU,36,101,91.0
21600540,2017-01-05,OKC,HOU,37,118,116.0
21600545,2017-01-06,HOU,ORL,38,100,93.0
21600563,2017-01-08,HOU,TOR,39,129,122.0
21600574,2017-01-10,CHA,HOU,40,121,114.0
21600582,2017-01-11,HOU,MIN,41,105,119.0
21600595,2017-01-13,MEM,HOU,42,105,110.0
21600609,2017-01-15,HOU,BKN,43,137,112.0
21600623,2017-01-17,HOU,MIA,44,103,109.0
21600632,2017-01-18,MIL,HOU,45,111,92.0
21600646,2017-01-20,GSW,HOU,46,108,125.0
21600656,2017-01-21,HOU,MEM,47,119,95.0
21600670,2017-01-23,HOU,MIL,48,114,127.0
21600681,2017-01-25,HOU,BOS,49,109,120.0
21600694,2017-01-27,HOU,PHI,50,123,118.0
21600713,2017-01-29,HOU,IND,51,101,120.0
21600726,2017-01-31,SAC,HOU,52,105,83.0
21600743,2017-02-02,ATL,HOU,53,108,113.0
21600749,2017-02-03,CHI,HOU,54,121,117.0
21600780,2017-02-07,ORL,HOU,55,128,104.0
21600794,2017-02-09,HOU,CHA,56,107,95.0
21600812,2017-02-11,PHX,HOU,57,133,102.0
21600841,2017-02-15,MIA,HOU,58,109,117.0
21600852,2017-02-23,HOU,NOP,59,129,99.0
21600872,2017-02-25,MIN,HOU,60,142,130.0
21600886,2017-02-27,IND,HOU,61,108,117.0
21600904,2017-03-01,HOU,LAC,62,122,103.0
21600924,2017-03-04,MEM,HOU,63,123,108.0
21600942,2017-03-06,HOU,SAS,64,110,112.0
21600954,2017-03-08,UTA,HOU,65,108,115.0
21600966,2017-03-10,HOU,CHI,66,115,94.0
21600989,2017-03-12,CLE,HOU,67,117,112.0
21601010,2017-03-15,LAL,HOU,68,139,100.0
21601024,2017-03-17,HOU,NOP,69,112,128.0
21601034,2017-03-18,HOU,DEN,70,109,105.0
21601048,2017-03-20,DEN,HOU,71,125,124.0
21601079,2017-03-24,NOP,HOU,72,117,107.0
21601091,2017-03-26,OKC,HOU,73,137,125.0
21601108,2017-03-28,GSW,HOU,74,106,113.0
21601125,2017-03-30,HOU,POR,75,107,117.0
21601136,2017-03-31,HOU,GSW,76,98,107.0
21601153,2017-04-02,HOU,PHX,77,123,116.0
21601168,2017-04-05,DEN,HOU,78,110,104.0
21601182,2017-04-07,DET,HOU,79,109,114.0
21601200,2017-04-09,HOU,SAC,80,135,128.0
21601210,2017-04-10,HOU,LAC,81,96,125.0
21601224,2017-04-12,MIN,HOU,82,123,118.0
