game_id,game_date,away_team,home_team,game_no,pf,opp_pf
21600010,2016-10-26,DEN,NOP,1,102,107.0
21600025,2016-10-28,GSW,NOP,2,114,122.0
21600032,2016-10-29,NOP,SAS,3,79,98.0
21600051,2016-11-01,MIL,NOP,4,113,117.0
21600060,2016-11-02,NOP,MEM,5,83,89.0
21600075,2016-11-04,PHX,NOP,6,111,112.0
21600099,2016-11-07,NOP,GSW,7,106,116.0
21600105,2016-11-08,NOP,SAC,8,94,102.0
21600117,2016-11-10,NOP,MIL,9,112,106.0
21600129,2016-11-12,LAL,NOP,10,99,126.0
21600148,2016-11-14,BOS,NOP,11,106,105.0
21600159,2016-11-16,NOP,ORL,12,82,89.0
21600177,2016-11-18,POR,NOP,13,113,101.0
21600185,2016-11-19,CHA,NOP,14,121,116.0
21600209,2016-11-22,NOP,ATL,15,112,94.0
21600222,2016-11-23,MIN,NOP,16,117,96.0
21600237,2016-11-25,NOP,POR,17,104,119.0
21600250,2016-11-27,NOP,DAL,18,81,91.0
21600263,2016-11-29,LAL,NOP,19,105,88.0
21600287,2016-12-02,LAC,NOP,20,96,114.0
21600301,2016-12-04,NOP,OKC,21,92,101.0
21600310,2016-12-05,MEM,NOP,22,108,110.0
21600334,2016-12-08,PHI,NOP,23,88,99.0
21600355,2016-12-10,NOP,LAC,24,105,133.0
21600359,2016-12-11,NOP,PHX,25,120,119.0
21600371,2016-12-13,GSW,NOP,26,109,113.0
21600385,2016-12-15,IND,NOP,27,102,95.0
21600395,2016-12-16,NOP,HOU,28,100,122.0
21600412,2016-12-18,NOP,SAS,29,100,113.0
21600418,2016-12-20,NOP,PHI,30,108,93.0
21600433,2016-12-21,OKC,NOP,31,110,121.0
21600449,2016-12-23,MIA,NOP,32,91,87.0
21600466,2016-12-26,DAL,NOP,33,111,104.0
21600481,2016-12-28,LAC,NOP,34,102,98.0
21600495,2016-12-30,NYK,NOP,35,104,92.0
21600514,2017-01-02,NOP,CLE,36,82,90.0
21600539,2017-01-05,ATL,NOP,37,94,99.0
21600553,2017-01-07,NOP,BOS,38,108,117.0
21600568,2017-01-09,NOP,NYK,39,110,96.0
21600586,2017-01-12,NOP,BKN,40,104,95.0
21600602,2017-01-14,NOP,CHI,41,99,107.0
21600616,2017-01-16,NOP,IND,42,95,98.0
21600631,2017-01-18,ORL,NOP,43,118,98.0
21600645,2017-01-20,BKN,NOP,44,114,143.0
21600671,2017-01-23,CLE,NOP,45,124,122.0
21600686,2017-01-25,OKC,NOP,46,105,114.0
21600701,2017-01-27,SAS,NOP,47,119,103.0
21600714,2017-01-29,WAS,NOP,48,94,107.0
21600725,2017-01-31,NOP,TOR,49,106,108.0
21600735,2017-02-01,NOP,DET,50,98,118.0
21600755,2017-02-04,NOP,WAS,51,91,105.0
21600774,2017-02-06,PHX,NOP,52,111,106.0
21600789,2017-02-08,UTA,NOP,53,94,127.0
21600804,2017-02-10,NOP,MIN,54,122,106.0
21600819,2017-02-12,NOP,SAC,55,99,105.0
21600829,2017-02-13,NOP,PHX,56,110,108.0
21600840,2017-02-15,NOP,MEM,57,95,91.0
21600852,2017-02-23,HOU,NOP,58,99,129.0
21600870,2017-02-25,NOP,DAL,59,83,96.0
21600880,2017-02-26,NOP,OKC,60,110,118.0
21600900,2017-03-01,DET,NOP,61,109,86.0
21600917,2017-03-03,SAS,NOP,62,98,101.0
21600933,2017-03-05,NOP,LAL,63,105,97.0
21600944,2017-03-06,NOP,UTA,64,83,88.0
21600953,2017-03-08,TOR,NOP,65,87,94.0
21600976,2017-03-11,NOP,CHA,66,125,122.0
21601002,2017-03-14,POR,NOP,67,100,77.0
21601007,2017-03-15,NOP,MIA,68,112,120.0
21601024,2017-03-17,HOU,NOP,69,128,112.0
21601039,2017-03-19,MIN,NOP,70,123,109.0
21601054,2017-03-21,MEM,NOP,71,95,82.0
21601079,2017-03-24,NOP,HOU,72,107,117.0
21601095,2017-03-26,NOP,DEN,73,115,90.0
21601102,2017-03-27,NOP,UTA,74,100,108.0
21601117,2017-03-29,DAL,NOP,75,121,118.0
21601132,2017-03-31,SAC,NOP,76,117,89.0
21601146,2017-04-02,CHI,NOP,77,110,117.0
21601158,2017-04-04,DEN,NOP,78,131,134.0
21601184,2017-04-07,NOP,DEN,79,106,122.0
21601195,2017-04-08,NOP,GSW,80,101,123.0
21601215,2017-04-11,NOP,LAL,81,96,108.0
21601230,2017-04-12,NOP,POR,82,103,100.0
