season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl
2017-18,1610612745,21700002,2017-10-17,HOU,GSW,1610612744,1,122,121,W
2017-18,1610612745,21700013,2017-10-18,HOU,SAC,1610612758,2,105,100,W
2017-18,1610612745,21700032,2017-10-21,DAL,HOU,1610612742,3,107,91,W
2017-18,1610612745,21700043,2017-10-23,MEM,HOU,1610612763,4,90,98,L
2017-18,1610612745,21700057,2017-10-25,HOU,PHI,1610612755,5,105,104,W
2017-18,1610612745,21700070,2017-10-27,HOU,CHA,1610612766,6,109,93,W
2017-18,1610612745,21700080,2017-10-28,HOU,MEM,1610612763,7,89,103,L
2017-18,1610612745,21700095,2017-10-30,PHI,HOU,1610612755,8,107,115,L
2017-18,1610612745,21700111,2017-11-01,HOU,NYK,1610612752,9,119,97,W
2017-18,1610612745,21700123,2017-11-03,HOU,ATL,1610612737,10,119,104,W
2017-18,1610612745,21700140,2017-11-05,UTA,HOU,1610612762,11,137,110,W
2017-18,1610612745,21700166,2017-11-09,CLE,HOU,1610612739,12,117,113,W
2017-18,1610612745,21700180,2017-11-11,MEM,HOU,1610612763,13,111,96,W
2017-18,1610612745,21700190,2017-11-12,HOU,IND,1610612754,14,118,95,W
2017-18,1610612745,21700202,2017-11-14,TOR,HOU,1610612761,15,113,129,L
2017-18,1610612745,21700216,2017-11-16,HOU,PHX,1610612756,16,142,116,W
2017-18,1610612745,21700232,2017-11-18,HOU,MEM,1610612763,17,105,83,W
2017-18,1610612745,21700259,2017-11-22,DEN,HOU,1610612743,18,125,95,W
2017-18,1610612745,21700282,2017-11-25,NYK,HOU,1610612752,19,117,102,W
2017-18,1610612745,21700294,2017-11-27,BKN,HOU,1610612751,20,117,103,W
2017-18,1610612745,21700308,2017-11-29,IND,HOU,1610612754,21,118,97,W
2017-18,1610612745,21700338,2017-12-03,HOU,LAL,1610612747,22,118,95,W
2017-18,1610612745,21700366,2017-12-07,HOU,UTA,1610612762,23,112,101,W
2017-18,1610612745,21700384,2017-12-09,HOU,POR,1610612757,24,124,117,W
2017-18,1610612745,21700392,2017-12-11,NOP,HOU,1610612740,25,130,123,W
2017-18,1610612745,21700412,2017-12-13,CHA,HOU,1610612766,26,108,96,W
2017-18,1610612745,21700428,2017-12-15,SAS,HOU,1610612759,27,124,109,W
2017-18,1610612745,21700433,2017-12-16,MIL,HOU,1610612749,28,115,111,W
2017-18,1610612745,21700445,2017-12-18,UTA,HOU,1610612762,29,120,99,W
2017-18,1610612745,21700459,2017-12-20,LAL,HOU,1610612747,30,116,122,L
2017-18,1610612745,21700475,2017-12-22,LAC,HOU,1610612746,31,118,128,L
2017-18,1610612745,21700496,2017-12-25,HOU,OKC,1610612760,32,107,112,L
2017-18,1610612745,21700517,2017-12-28,HOU,BOS,1610612738,33,98,99,L
2017-18,1610612745,21700521,2017-12-29,HOU,WAS,1610612764,34,103,121,L
2017-18,1610612745,21700540,2017-12-31,LAL,HOU,1610612747,35,148,142,W
2017-18,1610612745,21700554,2018-01-03,HOU,ORL,1610612753,36,116,98,W
2017-18,1610612745,21700566,2018-01-04,GSW,HOU,1610612744,37,114,124,L
2017-18,1610612745,21700580,2018-01-06,HOU,DET,1610612765,38,101,108,L
2017-18,1610612745,21700593,2018-01-08,HOU,CHI,1610612741,39,116,107,W
2017-18,1610612745,21700608,2018-01-10,POR,HOU,1610612757,40,121,112,W
2017-18,1610612745,21700626,2018-01-12,HOU,PHX,1610612756,41,112,95,W
2017-18,1610612745,21700648,2018-01-15,HOU,LAC,1610612746,42,102,113,L
2017-18,1610612745,21700665,2018-01-18,MIN,HOU,1610612750,43,116,98,W
2017-18,1610612745,21700679,2018-01-20,GSW,HOU,1610612744,44,116,108,W
2017-18,1610612745,21700689,2018-01-22,MIA,HOU,1610612748,45,99,90,W
2017-18,1610612745,21700706,2018-01-24,HOU,DAL,1610612742,46,104,97,W
2017-18,1610612745,21700720,2018-01-26,HOU,NOP,1610612740,47,113,115,L
2017-18,1610612745,21700732,2018-01-28,PHX,HOU,1610612756,48,113,102,W
2017-18,1610612745,21700748,2018-01-30,ORL,HOU,1610612753,49,114,107,W
2017-18,1610612745,21700764,2018-02-01,HOU,SAS,1610612759,50,102,91,W
2017-18,1610612745,21700779,2018-02-03,HOU,CLE,1610612739,51,120,88,W
2017-18,1610612745,21700800,2018-02-06,HOU,BKN,1610612751,52,123,113,W
2017-18,1610612745,21700806,2018-02-07,HOU,MIA,1610612748,53,109,101,W
2017-18,1610612745,21700823,2018-02-09,DEN,HOU,1610612743,54,130,104,W
