game_id,game_date,away_team,home_team,game_no,pf,opp_pf
22100001,2021-10-19,BKN,MIL,1,104,127.0
22100021,2021-10-22,BKN,PHI,2,114,109.0
22100035,2021-10-24,CHA,BKN,3,95,111.0
22100044,2021-10-25,WAS,BKN,4,104,90.0
22100057,2021-10-27,MIA,BKN,5,93,106.0
22100072,2021-10-29,IND,BKN,6,105,98.0
22100092,2021-10-31,DET,BKN,7,117,91.0
22100113,2021-11-03,ATL,BKN,8,117,108.0
22100124,2021-11-05,BKN,DET,9,96,90.0
22100139,2021-11-07,BKN,TOR,10,116,103.0
22100148,2021-11-08,BKN,CHI,11,95,118.0
22100159,2021-11-10,BKN,ORL,12,123,90.0
22100179,2021-11-12,BKN,NOP,13,120,112.0
22100196,2021-11-14,BKN,OKC,14,120,96.0
22100210,2021-11-16,GSW,BKN,15,99,117.0
22100216,2021-11-17,CLE,BKN,16,109,99.0
22100233,2021-11-19,ORL,BKN,17,115,113.0
22100253,2021-11-22,BKN,CLE,18,117,112.0
22100270,2021-11-24,BKN,BOS,19,123,104.0
22100294,2021-11-27,PHX,BKN,20,107,113.0
22100314,2021-11-30,NYK,BKN,21,112,110.0
22100336,2021-12-03,MIN,BKN,22,110,105.0
22100343,2021-12-04,CHI,BKN,23,107,111.0
22100363,2021-12-07,BKN,DAL,24,102,99.0
22100372,2021-12-08,BKN,HOU,25,104,114.0
22100384,2021-12-10,BKN,ATL,26,113,105.0
22100399,2021-12-12,BKN,DET,27,116,104.0
22100413,2021-12-14,TOR,BKN,28,131,129.0
22100429,2021-12-16,PHI,BKN,29,114,105.0
22100442,2021-12-18,ORL,BKN,30,93,100.0
22100491,2021-12-25,BKN,LAL,31,122,115.0
22100507,2021-12-27,BKN,LAC,32,124,108.0
22100525,2021-12-30,PHI,BKN,33,102,110.0
22100542,2022-01-01,LAC,BKN,34,116,120.0
22100554,2022-01-03,MEM,BKN,35,104,118.0
22100571,2022-01-05,BKN,IND,36,129,121.0
22100583,2022-01-07,MIL,BKN,37,109,121.0
22100602,2022-01-09,SAS,BKN,38,121,119.0
22100486,2022-01-10,BKN,POR,39,108,114.0
22100625,2022-01-12,BKN,CHI,40,138,112.0
22100630,2022-01-13,OKC,BKN,41,109,130.0
22100644,2022-01-15,NOP,BKN,42,120,105.0
22100657,2022-01-17,BKN,CLE,43,107,114.0
22100669,2022-01-19,BKN,WAS,44,119,118.0
22100691,2022-01-21,BKN,SAS,45,117,102.0
22100706,2022-01-23,BKN,MIN,46,125,136.0
22100718,2022-01-25,LAL,BKN,47,96,106.0
22100453,2022-01-26,DEN,BKN,48,118,124.0
22100750,2022-01-29,BKN,GSW,49,106,110.0
22100772,2022-02-01,BKN,PHX,50,111,121.0
22100780,2022-02-02,BKN,SAC,51,101,112.0
22100793,2022-02-04,BKN,UTA,52,102,125.0
22100804,2022-02-06,BKN,DEN,53,104,124.0
22100817,2022-02-08,BOS,BKN,54,91,126.0
22100832,2022-02-10,BKN,WAS,55,112,113.0
22100851,2022-02-12,BKN,MIA,56,111,115.0
22100859,2022-02-14,SAC,BKN,57,109,85.0
22100877,2022-02-16,BKN,NYK,58,111,106.0
22100464,2022-02-17,WAS,BKN,59,103,117.0
22100890,2022-02-24,BOS,BKN,60,106,129.0
22100910,2022-02-26,BKN,MIL,61,126,123.0
22100726,2022-02-28,TOR,BKN,62,97,133.0
22100928,2022-03-01,BKN,TOR,63,108,109.0
22100941,2022-03-03,MIA,BKN,64,107,113.0
22100960,2022-03-06,BKN,BOS,65,120,126.0
22100975,2022-03-08,BKN,CHA,66,132,121.0
22100993,2022-03-10,BKN,PHI,67,129,100.0
22101012,2022-03-13,NYK,BKN,68,110,107.0
22101030,2022-03-15,BKN,ORL,69,150,108.0
22101036,2022-03-16,DAL,BKN,70,111,113.0
22101048,2022-03-18,POR,BKN,71,128,123.0
22101075,2022-03-21,UTA,BKN,72,114,106.0
22101089,2022-03-23,BKN,MEM,73,120,132.0
22101111,2022-03-26,BKN,MIA,74,110,95.0
22101120,2022-03-27,CHA,BKN,75,110,119.0
22101133,2022-03-29,DET,BKN,76,130,123.0
22101148,2022-03-31,MIL,BKN,77,119,120.0
22101163,2022-04-02,BKN,ATL,78,115,122.0
22101180,2022-04-05,HOU,BKN,79,118,105.0
22101191,2022-04-06,BKN,NYK,80,110,98.0
22101205,2022-04-08,CLE,BKN,81,118,107.0
22101216,2022-04-10,IND,BKN,82,134,126.0
