GAME_ID,GAME_DATE,AWAY_TEAM,HOME_TEAM,ROUND,GAME_NO_IN_SERIES
42200151,2023-04-16,LAL,MEM,RND1,1
42200152,2023-04-19,LAL,MEM,RND1,2
42200153,2023-04-22,MEM,LAL,RND1,3
42200154,2023-04-24,MEM,LAL,RND1,4
42200155,2023-04-26,LAL,MEM,RND1,5
42200156,2023-04-28,MEM,LAL,RND1,6
42200231,2023-05-02,LAL,GSW,SF,1
42200232,2023-05-04,LAL,GSW,SF,2
42200233,2023-05-06,GSW,LAL,SF,3
42200234,2023-05-08,GSW,LAL,SF,4
42200235,2023-05-10,LAL,GSW,SF,5
42200236,2023-05-12,GSW,LAL,SF,6
42200311,2023-05-16,LAL,DEN,CONF,1
42200312,2023-05-18,LAL,DEN,CONF,2
42200313,2023-05-20,DEN,LAL,CONF,3
42200314,2023-05-22,DEN,LAL,CONF,4
