game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
42200131,2023-04-15,NYK,CLE,101,97.0,rnd1,1
42200132,2023-04-18,NYK,CLE,90,107.0,rnd1,2
42200133,2023-04-21,CLE,NYK,99,79.0,rnd1,3
42200134,2023-04-23,CLE,NYK,102,93.0,rnd1,4
42200135,2023-04-26,NYK,CLE,106,95.0,rnd1,5
42200201,2023-04-30,MIA,NYK,101,108.0,sf,1
42200202,2023-05-02,MIA,NYK,111,105.0,sf,2
42200203,2023-05-06,NYK,MIA,86,105.0,sf,3
42200204,2023-05-08,NYK,MIA,101,109.0,sf,4
42200205,2023-05-10,MIA,NYK,112,103.0,sf,5
42200206,2023-05-12,NYK,MIA,92,96.0,sf,6
