season,team_id,team,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2022-23,1610612737,ATL,42200111,2023-04-15,ATL,BOS,BOS,1610612738,99,112,L,-13,rnd1,1
2022-23,1610612737,ATL,42200112,2023-04-18,ATL,BOS,BOS,1610612738,106,119,L,-13,rnd1,2
2022-23,1610612737,ATL,42200113,2023-04-21,BOS,ATL,BOS,1610612738,130,122,W,8,rnd1,3
2022-23,1610612737,ATL,42200114,2023-04-23,BOS,ATL,BOS,1610612738,121,129,L,-8,rnd1,4
2022-23,1610612737,ATL,42200115,2023-04-25,ATL,BOS,BOS,1610612738,119,117,W,2,rnd1,5
2022-23,1610612737,ATL,42200116,2023-04-27,BOS,ATL,BOS,1610612738,120,128,L,-8,rnd1,6
2022-23,1610612751,BKN,42200121,2023-04-15,BKN,PHI,PHI,1610612755,101,121,L,-20,rnd1,1
2022-23,1610612751,BKN,42200122,2023-04-17,BKN,PHI,PHI,1610612755,84,96,L,-12,rnd1,2
2022-23,1610612751,BKN,42200123,2023-04-20,PHI,BKN,PHI,1610612755,97,102,L,-5,rnd1,3
2022-23,1610612751,BKN,42200124,2023-04-22,PHI,BKN,PHI,1610612755,88,96,L,-8,rnd1,4
2022-23,1610612738,BOS,42200111,2023-04-15,ATL,BOS,ATL,1610612737,112,99,W,13,rnd1,1
2022-23,1610612738,BOS,42200112,2023-04-18,ATL,BOS,ATL,1610612737,119,106,W,13,rnd1,2
2022-23,1610612738,BOS,42200113,2023-04-21,BOS,ATL,ATL,1610612737,122,130,L,-8,rnd1,3
2022-23,1610612738,BOS,42200114,2023-04-23,BOS,ATL,ATL,1610612737,129,121,W,8,rnd1,4
2022-23,1610612738,BOS,42200115,2023-04-25,ATL,BOS,ATL,1610612737,117,119,L,-2,rnd1,5
2022-23,1610612738,BOS,42200116,2023-04-27,BOS,ATL,ATL,1610612737,128,120,W,8,rnd1,6
2022-23,1610612738,BOS,42200211,2023-05-01,PHI,BOS,PHI,1610612755,115,119,L,-4,sf,1
2022-23,1610612738,BOS,42200212,2023-05-03,PHI,BOS,PHI,1610612755,121,87,W,34,sf,2
2022-23,1610612738,BOS,42200213,2023-05-05,BOS,PHI,PHI,1610612755,114,102,W,12,sf,3
2022-23,1610612738,BOS,42200214,2023-05-07,BOS,PHI,PHI,1610612755,115,116,L,-1,sf,4
2022-23,1610612738,BOS,42200215,2023-05-09,PHI,BOS,PHI,1610612755,103,115,L,-12,sf,5
2022-23,1610612738,BOS,42200216,2023-05-11,BOS,PHI,PHI,1610612755,95,86,W,9,sf,6
2022-23,1610612738,BOS,42200217,2023-05-14,PHI,BOS,PHI,1610612755,112,88,W,24,sf,7
2022-23,1610612738,BOS,42200301,2023-05-17,MIA,BOS,MIA,1610612748,116,123,L,-7,conf,1
2022-23,1610612738,BOS,42200302,2023-05-19,MIA,BOS,MIA,1610612748,105,111,L,-6,conf,2
2022-23,1610612738,BOS,42200303,2023-05-21,BOS,MIA,MIA,1610612748,102,128,L,-26,conf,3
2022-23,1610612738,BOS,42200304,2023-05-23,BOS,MIA,MIA,1610612748,116,99,W,17,conf,4
2022-23,1610612738,BOS,42200305,2023-05-25,MIA,BOS,MIA,1610612748,110,97,W,13,conf,5
2022-23,1610612738,BOS,42200306,2023-05-27,BOS,MIA,MIA,1610612748,104,103,W,1,conf,6
2022-23,1610612738,BOS,42200307,2023-05-29,MIA,BOS,MIA,1610612748,84,103,L,-19,conf,7
2022-23,1610612739,CLE,42200131,2023-04-15,NYK,CLE,NYK,1610612752,97,101,L,-4,rnd1,1
2022-23,1610612739,CLE,42200132,2023-04-18,NYK,CLE,NYK,1610612752,107,90,W,17,rnd1,2
2022-23,1610612739,CLE,42200133,2023-04-21,CLE,NYK,NYK,1610612752,79,99,L,-20,rnd1,3
2022-23,1610612739,CLE,42200134,2023-04-23,CLE,NYK,NYK,1610612752,93,102,L,-9,rnd1,4
2022-23,1610612739,CLE,42200135,2023-04-26,NYK,CLE,NYK,1610612752,95,106,L,-11,rnd1,5
2022-23,1610612743,DEN,42200141,2023-04-16,MIN,DEN,MIN,1610612750,109,80,W,29,rnd1,1
2022-23,1610612743,DEN,42200142,2023-04-19,MIN,DEN,MIN,1610612750,122,113,W,9,rnd1,2
2022-23,1610612743,DEN,42200143,2023-04-21,DEN,MIN,MIN,1610612750,120,111,W,9,rnd1,3
2022-23,1610612743,DEN,42200144,2023-04-23,DEN,MIN,MIN,1610612750,108,114,L,-6,rnd1,4
2022-23,1610612743,DEN,42200145,2023-04-25,MIN,DEN,MIN,1610612750,112,109,W,3,rnd1,5
2022-23,1610612743,DEN,42200221,2023-04-29,PHX,DEN,PHX,1610612756,125,107,W,18,sf,1
2022-23,1610612743,DEN,42200222,2023-05-01,PHX,DEN,PHX,1610612756,97,87,W,10,sf,2
2022-23,1610612743,DEN,42200223,2023-05-05,DEN,PHX,PHX,1610612756,114,121,L,-7,sf,3
2022-23,1610612743,DEN,42200224,2023-05-07,DEN,PHX,PHX,1610612756,124,129,L,-5,sf,4
2022-23,1610612743,DEN,42200225,2023-05-09,PHX,DEN,PHX,1610612756,118,102,W,16,sf,5
2022-23,1610612743,DEN,42200226,2023-05-11,DEN,PHX,PHX,1610612756,125,100,W,25,sf,6
2022-23,1610612743,DEN,42200311,2023-05-16,LAL,DEN,LAL,1610612747,132,126,W,6,conf,1
2022-23,1610612743,DEN,42200312,2023-05-18,LAL,DEN,LAL,1610612747,108,103,W,5,conf,2
2022-23,1610612743,DEN,42200313,2023-05-20,DEN,LAL,LAL,1610612747,119,108,W,11,conf,3
2022-23,1610612743,DEN,42200314,2023-05-22,DEN,LAL,LAL,1610612747,113,111,W,2,conf,4
2022-23,1610612743,DEN,42200401,2023-06-01,MIA,DEN,MIA,1610612748,104,93,W,11,finals,1
2022-23,1610612743,DEN,42200402,2023-06-04,MIA,DEN,MIA,1610612748,108,111,L,-3,finals,2
2022-23,1610612743,DEN,42200403,2023-06-07,DEN,MIA,MIA,1610612748,109,94,W,15,finals,3
2022-23,1610612743,DEN,42200404,2023-06-09,DEN,MIA,MIA,1610612748,108,95,W,13,finals,4
2022-23,1610612743,DEN,42200405,2023-06-12,MIA,DEN,MIA,1610612748,94,89,W,5,finals,5
2022-23,1610612744,GSW,42200161,2023-04-15,GSW,SAC,SAC,1610612758,123,126,L,-3,rnd1,1
2022-23,1610612744,GSW,42200162,2023-04-17,GSW,SAC,SAC,1610612758,106,114,L,-8,rnd1,2
2022-23,1610612744,GSW,42200163,2023-04-20,SAC,GSW,SAC,1610612758,114,97,W,17,rnd1,3
2022-23,1610612744,GSW,42200164,2023-04-23,SAC,GSW,SAC,1610612758,126,125,W,1,rnd1,4
2022-23,1610612744,GSW,42200165,2023-04-26,GSW,SAC,SAC,1610612758,123,116,W,7,rnd1,5
2022-23,1610612744,GSW,42200166,2023-04-28,SAC,GSW,SAC,1610612758,99,118,L,-19,rnd1,6
2022-23,1610612744,GSW,42200167,2023-04-30,GSW,SAC,SAC,1610612758,120,100,W,20,rnd1,7
2022-23,1610612744,GSW,42200231,2023-05-02,LAL,GSW,LAL,1610612747,112,117,L,-5,sf,1
2022-23,1610612744,GSW,42200232,2023-05-04,LAL,GSW,LAL,1610612747,127,100,W,27,sf,2
2022-23,1610612744,GSW,42200233,2023-05-06,GSW,LAL,LAL,1610612747,97,127,L,-30,sf,3
2022-23,1610612744,GSW,42200234,2023-05-08,GSW,LAL,LAL,1610612747,101,104,L,-3,sf,4
2022-23,1610612744,GSW,42200235,2023-05-10,LAL,GSW,LAL,1610612747,121,106,W,15,sf,5
2022-23,1610612744,GSW,42200236,2023-05-12,GSW,LAL,LAL,1610612747,101,122,L,-21,sf,6
2022-23,1610612746,LAC,42200171,2023-04-16,LAC,PHX,PHX,1610612756,115,110,W,5,rnd1,1
2022-23,1610612746,LAC,42200172,2023-04-18,LAC,PHX,PHX,1610612756,109,123,L,-14,rnd1,2
2022-23,1610612746,LAC,42200173,2023-04-20,PHX,LAC,PHX,1610612756,124,129,L,-5,rnd1,3
2022-23,1610612746,LAC,42200174,2023-04-22,PHX,LAC,PHX,1610612756,100,112,L,-12,rnd1,4
2022-23,1610612746,LAC,42200175,2023-04-25,LAC,PHX,PHX,1610612756,130,136,L,-6,rnd1,5
2022-23,1610612747,LAL,42200151,2023-04-16,LAL,MEM,MEM,1610612763,128,112,W,16,rnd1,1
2022-23,1610612747,LAL,42200152,2023-04-19,LAL,MEM,MEM,1610612763,93,103,L,-10,rnd1,2
2022-23,1610612747,LAL,42200153,2023-04-22,MEM,LAL,MEM,1610612763,111,101,W,10,rnd1,3
2022-23,1610612747,LAL,42200154,2023-04-24,MEM,LAL,MEM,1610612763,117,111,W,6,rnd1,4
2022-23,1610612747,LAL,42200155,2023-04-26,LAL,MEM,MEM,1610612763,99,116,L,-17,rnd1,5
2022-23,1610612747,LAL,42200156,2023-04-28,MEM,LAL,MEM,1610612763,125,85,W,40,rnd1,6
2022-23,1610612747,LAL,42200231,2023-05-02,LAL,GSW,GSW,1610612744,117,112,W,5,sf,1
2022-23,1610612747,LAL,42200232,2023-05-04,LAL,GSW,GSW,1610612744,100,127,L,-27,sf,2
2022-23,1610612747,LAL,42200233,2023-05-06,GSW,LAL,GSW,1610612744,127,97,W,30,sf,3
2022-23,1610612747,LAL,42200234,2023-05-08,GSW,LAL,GSW,1610612744,104,101,W,3,sf,4
2022-23,1610612747,LAL,42200235,2023-05-10,LAL,GSW,GSW,1610612744,106,121,L,-15,sf,5
2022-23,1610612747,LAL,42200236,2023-05-12,GSW,LAL,GSW,1610612744,122,101,W,21,sf,6
2022-23,1610612747,LAL,42200311,2023-05-16,LAL,DEN,DEN,1610612743,126,132,L,-6,conf,1
2022-23,1610612747,LAL,42200312,2023-05-18,LAL,DEN,DEN,1610612743,103,108,L,-5,conf,2
2022-23,1610612747,LAL,42200313,2023-05-20,DEN,LAL,DEN,1610612743,108,119,L,-11,conf,3
2022-23,1610612747,LAL,42200314,2023-05-22,DEN,LAL,DEN,1610612743,111,113,L,-2,conf,4
2022-23,1610612763,MEM,42200151,2023-04-16,LAL,MEM,LAL,1610612747,112,128,L,-16,rnd1,1
2022-23,1610612763,MEM,42200152,2023-04-19,LAL,MEM,LAL,1610612747,103,93,W,10,rnd1,2
2022-23,1610612763,MEM,42200153,2023-04-22,MEM,LAL,LAL,1610612747,101,111,L,-10,rnd1,3
2022-23,1610612763,MEM,42200154,2023-04-24,MEM,LAL,LAL,1610612747,111,117,L,-6,rnd1,4
2022-23,1610612763,MEM,42200155,2023-04-26,LAL,MEM,LAL,1610612747,116,99,W,17,rnd1,5
2022-23,1610612763,MEM,42200156,2023-04-28,MEM,LAL,LAL,1610612747,85,125,L,-40,rnd1,6
2022-23,1610612748,MIA,42200101,2023-04-16,MIA,MIL,MIL,1610612749,130,117,W,13,rnd1,1
2022-23,1610612748,MIA,42200102,2023-04-19,MIA,MIL,MIL,1610612749,122,138,L,-16,rnd1,2
2022-23,1610612748,MIA,42200103,2023-04-22,MIL,MIA,MIL,1610612749,121,99,W,22,rnd1,3
2022-23,1610612748,MIA,42200104,2023-04-24,MIL,MIA,MIL,1610612749,119,114,W,5,rnd1,4
2022-23,1610612748,MIA,42200105,2023-04-26,MIA,MIL,MIL,1610612749,128,126,W,2,rnd1,5
2022-23,1610612748,MIA,42200201,2023-04-30,MIA,NYK,NYK,1610612752,108,101,W,7,sf,1
2022-23,1610612748,MIA,42200202,2023-05-02,MIA,NYK,NYK,1610612752,105,111,L,-6,sf,2
2022-23,1610612748,MIA,42200203,2023-05-06,NYK,MIA,NYK,1610612752,105,86,W,19,sf,3
2022-23,1610612748,MIA,42200204,2023-05-08,NYK,MIA,NYK,1610612752,109,101,W,8,sf,4
2022-23,1610612748,MIA,42200205,2023-05-10,MIA,NYK,NYK,1610612752,103,112,L,-9,sf,5
2022-23,1610612748,MIA,42200206,2023-05-12,NYK,MIA,NYK,1610612752,96,92,W,4,sf,6
