game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
42300151,2024-04-20,LAL,DEN,114,103.0,rnd1,1
42300152,2024-04-22,LAL,DEN,101,99.0,rnd1,2
42300153,2024-04-25,DEN,LAL,112,105.0,rnd1,3
42300154,2024-04-27,DEN,LAL,108,119.0,rnd1,4
42300155,2024-04-29,LAL,DEN,108,106.0,rnd1,5
42300231,2024-05-04,MIN,DEN,99,106.0,sf,1
42300232,2024-05-06,MIN,DEN,80,106.0,sf,2
42300233,2024-05-10,DEN,MIN,117,90.0,sf,3
42300234,2024-05-12,DEN,MIN,115,107.0,sf,4
42300235,2024-05-14,MIN,DEN,112,97.0,sf,5
42300236,2024-05-16,DEN,MIN,70,115.0,sf,6
42300237,2024-05-19,MIN,DEN,90,98.0,sf,7
