season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2024-25,1610612743,42400171,2025-04-19,LAC,DEN,1610612746,112,110,W,2,rnd1,1
2024-25,1610612743,42400172,2025-04-21,LAC,DEN,1610612746,102,105,L,-3,rnd1,2
2024-25,1610612743,42400173,2025-04-24,DEN,LAC,1610612746,83,117,L,-34,rnd1,3
2024-25,1610612743,42400174,2025-04-26,DEN,LAC,1610612746,101,99,W,2,rnd1,4
2024-25,1610612743,42400175,2025-04-29,LAC,DEN,1610612746,131,115,W,16,rnd1,5
2024-25,1610612743,42400176,2025-05-01,DEN,LAC,1610612746,105,111,L,-6,rnd1,6
2024-25,1610612743,42400177,2025-05-03,LAC,DEN,1610612746,120,101,W,19,rnd1,7
2024-25,1610612743,42400221,2025-05-05,DEN,OKC,1610612760,121,119,W,2,sf,1
2024-25,1610612743,42400222,2025-05-07,DEN,OKC,1610612760,106,149,L,-43,sf,2
2024-25,1610612743,42400223,2025-05-09,OKC,DEN,1610612760,113,104,W,9,sf,3
2024-25,1610612743,42400224,2025-05-11,OKC,DEN,1610612760,87,92,L,-5,sf,4
2024-25,1610612743,42400225,2025-05-13,DEN,OKC,1610612760,105,112,L,-7,sf,5
2024-25,1610612743,42400226,2025-05-15,OKC,DEN,1610612760,119,107,W,12,sf,6
2024-25,1610612743,42400227,2025-05-18,DEN,OKC,1610612760,93,125,L,-32,sf,7
