season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away
2019-20,1610612760,OKC,Oklahoma City Thunder,41900176,2020-08-31,OKC vs. HOU,W,48.0,0.494,0.202,0.181,0.264,0.542,0.143,0.212,0.125,0,0,0,0,13,122,130,145,65,91,9,8,4,1,2019,2020,True,OKC,HOU
2019-20,1610612749,MIL,Milwaukee Bucks,41900201,2020-08-31,MIL vs. MIA,L,48.0,0.6,0.347,0.192,0.163,0.536,0.321,0.162,0.333,0,0,0,0,13,24,39,150,149,79,105,48,143,1,2019,2020,True,MIL,MIA
2019-20,1610612748,MIA,Miami Heat,41900201,2020-08-31,MIA @ MIL,W,48.0,0.536,0.321,0.162,0.333,0.6,0.347,0.192,0.163,0,0,0,0,13,88,61,118,21,140,126,17,18,1,2019,2020,False,MIL,MIA
2019-20,1610612745,HOU,Houston Rockets,41900176,2020-08-31,HOU @ OKC,L,48.0,0.542,0.143,0.212,0.125,0.494,0.202,0.181,0.264,0,0,0,0,13,75,157,159,162,45,37,21,100,1,2019,2020,False,OKC,HOU
2019-20,1610612762,UTA,Utah Jazz,41900166,2020-08-30,UTA vs. DEN,L,48.0,0.573,0.4,0.108,0.152,0.676,0.366,0.17,0.242,0,0,0,0,13,42,17,28,152,165,137,35,77,1,2019,2020,True,UTA,DEN
2019-20,1610612746,LAC,LA Clippers,41900156,2020-08-30,LAC @ DAL,W,48.0,0.544,0.143,0.133,0.208,0.483,0.189,0.121,0.2,0,0,0,0,13,70,157,74,123,35,30,112,37,1,2019,2020,False,DAL,LAC
2019-20,1610612742,DAL,Dallas Mavericks,41900156,2020-08-30,DAL vs. LAC,L,48.0,0.483,0.189,0.121,0.2,0.544,0.143,0.133,0.208,0,0,0,0,13,132,137,54,127,97,9,93,44,1,2019,2020,True,DAL,LAC
2019-20,1610612738,BOS,Boston Celtics,41900211,2020-08-30,BOS @ TOR,W,48.0,0.572,0.253,0.217,0.196,0.429,0.345,0.135,0.143,0,0,0,0,13,43,100,163,132,9,124,91,9,1,2019,2020,False,TOR,BOS
2019-20,1610612761,TOR,Toronto Raptors,41900211,2020-08-30,TOR vs. BOS,L,48.0,0.429,0.345,0.135,0.143,0.572,0.253,0.217,0.196,0,0,0,0,13,158,43,75,158,124,66,4,35,1,2019,2020,True,TOR,BOS
2019-20,1610612743,DEN,Denver Nuggets,41900166,2020-08-30,DEN @ UTA,W,48.0,0.676,0.366,0.17,0.242,0.573,0.4,0.108,0.152,0,0,0,0,13,2,30,132,90,125,149,139,13,1,2019,2020,False,UTA,DEN
2019-20,1610612747,LAL,Los Angeles Lakers,41900145,2020-08-29,LAL vs. POR,W,48.0,0.625,0.295,0.164,0.186,0.543,0.28,0.173,0.294,0,0,0,0,13,13,76,124,137,95,81,32,127,1,2019,2020,True,LAL,POR
2019-20,1610612753,ORL,Orlando Magic,41900105,2020-08-29,ORL @ MIL,L,48.0,0.473,0.223,0.104,0.167,0.545,0.307,0.143,0.2,0,0,0,0,13,141,116,23,147,99,97,78,37,1,2019,2020,False,MIL,ORL
2019-20,1610612760,OKC,Oklahoma City Thunder,41900175,2020-08-29,OKC @ HOU,L,48.0,0.353,0.25,0.171,0.269,0.525,0.14,0.106,0.246,0,0,0,0,13,165,102,133,61,70,8,142,86,1,2019,2020,False,HOU,OKC
2019-20,1610612749,MIL,Milwaukee Bucks,41900105,2020-08-29,MIL vs. ORL,W,48.0,0.545,0.307,0.143,0.2,0.473,0.223,0.104,0.167,0,0,0,0,13,68,70,89,127,26,51,144,19,1,2019,2020,True,MIL,ORL
2019-20,1610612745,HOU,Houston Rockets,41900175,2020-08-29,HOU vs. OKC,W,48.0,0.525,0.14,0.106,0.246,0.353,0.25,0.171,0.269,0,0,0,0,13,97,159,25,81,2,64,34,106,1,2019,2020,True,HOU,OKC
