season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away
2024-25,1610612746,LAC,LA Clippers,22400451,2024-12-31,LAC @ SAS,L,48.0,0.408,0.207,0.143,0.224,0.536,0.194,0.091,0.365,0,0,0,0,121,2414,1592,1266,2009,1109,707,2249,2044,1,2024,2025,False,SAS,LAC
2024-25,1610612739,CLE,Cleveland Cavaliers,22400454,2024-12-31,CLE @ LAL,W,48.0,0.581,0.183,0.11,0.245,0.489,0.2,0.09,0.259,0,0,0,0,121,699,1889,508,1798,538,770,2261,815,1,2024,2025,False,LAL,CLE
2024-25,1610612738,BOS,Boston Celtics,22400449,2024-12-31,BOS vs. TOR,W,48.0,0.667,0.172,0.135,0.279,0.372,0.128,0.216,0.3,0,0,0,0,121,82,1990,1100,1348,8,139,99,1366,1,2024,2025,True,BOS,TOR
2024-25,1610612760,OKC,Oklahoma City Thunder,22400452,2024-12-31,OKC vs. MIN,W,48.0,0.539,0.258,0.119,0.25,0.589,0.152,0.238,0.25,0,0,0,0,121,1289,969,703,1714,1841,300,30,679,1,2024,2025,True,OKC,MIN
2024-25,1610612759,SAS,San Antonio Spurs,22400451,2024-12-31,SAS vs. LAC,W,48.0,0.536,0.194,0.091,0.365,0.408,0.207,0.143,0.224,0,0,0,0,121,1344,1749,201,412,47,860,1160,449,1,2024,2025,True,SAS,LAC
2024-25,1610612756,PHX,Phoenix Suns,22400453,2024-12-31,PHX vs. MEM,L,48.0,0.505,0.272,0.162,0.296,0.505,0.351,0.16,0.383,0,0,0,0,121,1787,829,1714,1122,660,2185,769,2175,1,2024,2025,True,PHX,MEM
2024-25,1610612754,IND,Indiana Pacers,22400450,2024-12-31,IND vs. MIL,L,48.0,0.517,0.333,0.165,0.268,0.526,0.247,0.11,0.232,0,0,0,0,121,1628,365,1788,1492,959,1383,1937,533,1,2024,2025,True,IND,MIL
2024-25,1610612749,MIL,Milwaukee Bucks,22400450,2024-12-31,MIL @ IND,W,48.0,0.526,0.247,0.11,0.232,0.517,0.333,0.165,0.268,0,0,0,0,121,1502,1073,523,1926,827,2076,665,959,1,2024,2025,False,IND,MIL
2024-25,1610612761,TOR,Toronto Raptors,22400449,2024-12-31,TOR @ BOS,L,48.0,0.372,0.128,0.216,0.3,0.667,0.172,0.135,0.279,0,0,0,0,121,2452,2319,2357,1074,2373,465,1343,1102,1,2024,2025,False,BOS,TOR
2024-25,1610612763,MEM,Memphis Grizzlies,22400453,2024-12-31,MEM @ PHX,W,48.0,0.505,0.351,0.16,0.383,0.505,0.272,0.162,0.296,0,0,0,0,121,1799,276,1687,284,667,1629,738,1331,1,2024,2025,False,PHX,MEM
2024-25,1610612747,LAL,Los Angeles Lakers,22400454,2024-12-31,LAL vs. CLE,L,48.0,0.489,0.2,0.09,0.259,0.581,0.183,0.11,0.245,0,0,0,0,121,1920,1663,194,1630,1758,565,1939,646,1,2024,2025,True,LAL,CLE
2024-25,1610612750,MIN,Minnesota Timberwolves,22400452,2024-12-31,MIN @ OKC,L,48.0,0.589,0.152,0.238,0.25,0.539,0.258,0.119,0.25,0,0,0,0,121,619,2161,2430,1714,1164,1490,1748,679,1,2024,2025,False,OKC,MIN
2024-25,1610612743,DEN,Denver Nuggets,22400445,2024-12-30,DEN @ UTA,W,48.0,0.548,0.181,0.069,0.426,0.587,0.256,0.16,0.227,0,0,0,0,121,1168,1909,47,92,1829,1469,775,485,1,2024,2025,False,UTA,DEN
2024-25,1610612755,PHI,Philadelphia 76ers,22400447,2024-12-30,PHI @ POR,W,48.0,0.647,0.413,0.196,0.364,0.532,0.39,0.268,0.426,0,0,0,0,121,148,96,2231,419,1059,2313,5,2363,1,2024,2025,False,POR,PHI
2024-25,1610612742,DAL,Dallas Mavericks,22400448,2024-12-30,DAL @ SAC,L,48.0,0.5,0.382,0.175,0.083,0.47,0.19,0.155,0.379,0,0,0,0,121,1818,170,1944,2458,320,645,884,2146,1,2024,2025,False,SAC,DAL
2024-25,1610612762,UTA,Utah Jazz,22400445,2024-12-30,UTA vs. DEN,L,48.0,0.587,0.256,0.16,0.227,0.548,0.181,0.069,0.426,0,0,0,0,121,626,985,1673,1969,1287,552,2412,2368,1,2024,2025,True,UTA,DEN
2024-25,1610612766,CHA,Charlotte Hornets,22400442,2024-12-30,CHA vs. CHI,L,53.0,0.465,0.198,0.123,0.159,0.462,0.26,0.133,0.29,0,0,0,0,9,2179,1694,808,2356,249,1502,1412,1262,1,2024,2025,True,CHA,CHI
2024-25,1610612746,LAC,LA Clippers,22400444,2024-12-30,LAC @ NOP,W,48.0,0.552,0.314,0.175,0.383,0.622,0.171,0.163,0.22,0,0,0,0,121,1093,504,1955,287,2166,452,714,394,1,2024,2025,False,NOP,LAC
2024-25,1610612752,NYK,New York Knicks,22400443,2024-12-30,NYK @ WAS,W,48.0,0.536,0.255,0.078,0.339,0.489,0.239,0.13,0.268,0,0,0,0,121,1344,1004,91,644,527,1280,1479,959,1,2024,2025,False,WAS,NYK
2024-25,1610612757,POR,Portland Trail Blazers,22400447,2024-12-30,POR vs. PHI,L,48.0,0.532,0.39,0.268,0.426,0.647,0.413,0.196,0.364,0,0,0,0,121,1400,146,2455,94,2311,2365,225,2025,1,2024,2025,True,POR,PHI
2024-25,1610612740,NOP,New Orleans Pelicans,22400444,2024-12-30,NOP vs. LAC,L,48.0,0.622,0.171,0.163,0.22,0.552,0.314,0.175,0.383,0,0,0,0,121,291,2009,1733,2056,1365,1949,495,2167,1,2024,2025,True,NOP,LAC
2024-25,1610612741,CHI,Chicago Bulls,22400442,2024-12-30,CHI @ CHA,W,53.0,0.462,0.26,0.133,0.29,0.465,0.198,0.123,0.159,0,0,0,0,9,2208,959,1043,1199,281,764,1652,105,1,2024,2025,False,CHA,CHI
2024-25,1610612758,SAC,Sacramento Kings,22400448,2024-12-30,SAC vs. DAL,W,48.0,0.47,0.19,0.155,0.379,0.5,0.382,0.175,0.083,0,0,0,0,121,2141,1813,1567,310,595,2291,507,3,1,2024,2025,True,SAC,DAL
2024-25,1610612764,WAS,Washington Wizards,22400443,2024-12-30,WAS vs. NYK,L,48.0,0.489,0.239,0.13,0.268,0.536,0.255,0.078,0.339,0,0,0,0,121,1931,1172,966,1492,1109,1454,2368,1809,1,2024,2025,True,WAS,NYK
2024-25,1610612744,GSW,Golden State Warriors,22400446,2024-12-30,GSW vs. CLE,L,48.0,0.379,0.263,0.143,0.324,0.552,0.104,0.152,0.241,0,0,0,0,121,2447,932,1266,803,1363,63,943,620,1,2024,2025,True,GSW,CLE
2024-25,1610612739,CLE,Cleveland Cavaliers,22400446,2024-12-30,CLE @ GSW,W,48.0,0.552,0.104,0.152,0.241,0.379,0.263,0.143,0.324,0,0,0,0,121,1097,2397,1509,1833,14,1527,1160,1655,1,2024,2025,False,GSW,CLE
2024-25,1610612738,BOS,Boston Celtics,22400437,2024-12-29,BOS vs. IND,L,48.0,0.548,0.204,0.082,0.208,0.58,0.31,0.091,0.261,0,0,0,0,121,1153,1628,112,2153,1751,1926,2249,848,1,2024,2025,True,BOS,IND
