team_id,team_name,gp,w,l,w_pct,min,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_blka,opp_pf,opp_pfd,opp_pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,opp_fgm_rank,opp_fga_rank,opp_fg_pct_rank,opp_fg3m_rank,opp_fg3a_rank,opp_fg3_pct_rank,opp_ftm_rank,opp_fta_rank,opp_ft_pct_rank,opp_oreb_rank,opp_dreb_rank,opp_reb_rank,opp_ast_rank,opp_tov_rank,opp_stl_rank,opp_blk_rank,opp_blka_rank,opp_pf_rank,opp_pfd1,opp_pts_rank,plus_minus_rank,team
1610612737,Atlanta Hawks,6,1,5,0.167,26.375,19.0,49.0,0.388,7.0,19.0,0.368,10.0,15.0,0.667,8.0,22.0,30.0,11.0,9.0,5.0,6.0,4.0,12.0,10.0,55.0,15.0,6,10,14,13,6,12,12,8,15,14,10,11,11,2,14,13,13,15,4,12,15,4,10,8,11,15,ATLANTA HAWKS
1610612738,Boston Celtics,3,2,1,0.667,17.658333333333335,8.0,30.0,0.267,3.0,12.0,0.25,9.0,12.0,0.75,3.0,18.0,21.0,5.0,6.0,4.0,3.0,4.0,8.0,11.0,28.0,-7.0,9,6,2,3,9,8,9,2,8,8,5,8,9,8,5,11,10,8,6,11,8,4,8,6,8,4,BOSTON CELTICS
1610612766,Charlotte Hornets,3,2,1,0.667,11.16,7.0,17.0,0.412,2.0,7.0,0.286,4.0,5.0,0.8,3.0,8.0,11.0,1.0,3.0,0.0,2.0,2.0,3.0,4.0,20.0,-1.0,9,6,2,3,10,6,6,11,6,7,8,4,4,10,5,7,7,1,9,1,6,7,3,12,5,7,CHARLOTTE HORNETS
1610612739,Cleveland Cavaliers,8,7,1,0.875,29.45833333333333,13.0,37.0,0.351,1.0,13.0,0.077,9.0,13.0,0.692,3.0,16.0,19.0,7.0,3.0,6.0,4.0,4.0,9.0,11.0,36.0,-18.0,4,1,2,2,5,9,10,6,1,11,1,8,10,4,5,9,9,11,9,15,12,4,9,6,9,2,CLEVELAND CAVALIERS
1610612742,Dallas Mavericks,2,1,1,0.5,5.6,3.0,14.0,0.214,1.0,6.0,0.167,1.0,1.0,1.0,6.0,4.0,10.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,8.0,-2.0,13,10,2,7,14,2,4,1,1,4,2,1,1,14,10,4,6,1,12,4,6,9,2,14,2,6,DALLAS MAVERICKS
1610612765,Detroit Pistons,3,0,3,0.0,10.683333333333334,7.0,17.0,0.412,4.0,12.0,0.333,4.0,5.0,0.8,3.0,5.0,8.0,3.0,4.0,0.0,1.0,0.0,5.0,3.0,22.0,11.0,9,14,9,14,11,6,6,11,10,8,9,4,4,10,5,5,5,6,8,1,5,14,6,13,6,13,DETROIT PISTONS
1610612744,Golden State Warriors,9,6,3,0.667,35.586666666666666,16.0,55.0,0.291,5.0,12.0,0.417,20.0,28.0,0.714,8.0,23.0,31.0,6.0,11.0,2.0,5.0,7.0,13.0,23.0,57.0,-29.0,2,2,9,3,3,11,13,3,12,8,12,13,13,5,14,14,14,9,2,8,14,1,12,2,12,1,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,1,1,0,1.0,3.8333333333333335,3.0,8.0,0.375,1.0,4.0,0.25,1.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0,8.0,-1.0,15,10,1,1,15,2,2,7,1,2,5,1,1,14,3,2,2,4,14,4,1,9,4,15,2,7,HOUSTON ROCKETS
1610612754,Indiana Pacers,3,1,2,0.333,7.916666666666667,3.0,9.0,0.333,2.0,4.0,0.5,8.0,10.0,0.8,2.0,3.0,5.0,2.0,1.0,2.0,0.0,1.0,4.0,6.0,16.0,5.0,9,10,7,12,13,2,3,4,6,2,14,7,6,10,3,2,2,4,14,8,1,9,4,10,4,11,INDIANA PACERS
1610612746,LA Clippers,2,0,2,0.0,8.341666666666667,6.0,14.0,0.429,3.0,6.0,0.5,7.0,11.0,0.636,1.0,6.0,7.0,3.0,2.0,1.0,0.0,0.0,6.0,6.0,22.0,10.0,13,14,7,14,12,5,4,14,8,4,14,6,8,1,2,6,4,6,12,4,1,14,7,10,6,12,LA CLIPPERS
