team_id,team_name,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,stl,blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,stl_rank,blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,team
1610612737,Atlanta Hawks,82,36,46,0.439,47.6,118.4,31.6,0.717,7.4,4.4,16.4,13.4,16.3,52.8,1,21,21,21,25,27,25,16,18,26,15,8,28,23,ATLANTA HAWKS
1610612738,Boston Celtics,82,64,18,0.78,49.0,110.6,36.1,0.726,6.9,6.7,13.5,13.8,13.1,48.4,1,1,1,1,10,2,1,7,26,1,1,14,4,7,BOSTON CELTICS
1610612751,Brooklyn Nets,82,32,50,0.39,49.2,115.4,33.2,0.715,6.9,5.3,15.7,14.2,15.9,49.2,1,22,22,22,6,20,14,19,25,13,10,22,27,13,BROOKLYN NETS
1610612766,Charlotte Hornets,82,21,61,0.256,49.0,119.2,31.5,0.709,7.0,4.6,17.4,14.4,14.0,53.5,1,27,27,27,9,29,27,22,22,23,23,25,12,25,CHARLOTTE HORNETS
1610612741,Chicago Bulls,82,39,43,0.476,49.5,115.7,33.1,0.717,7.9,4.9,15.5,14.0,13.5,46.1,1,20,20,20,3,22,15,17,8,18,8,17,8,1,CHICAGO BULLS
1610612739,Cleveland Cavaliers,82,48,34,0.585,49.2,112.1,34.0,0.721,7.5,4.7,17.7,13.1,14.6,47.4,1,11,11,11,7,7,8,14,16,19,24,6,18,5,CLEVELAND CAVALIERS
1610612742,Dallas Mavericks,82,50,32,0.61,47.7,114.9,33.0,0.711,6.8,4.9,15.0,14.2,15.6,50.7,1,6,6,6,24,18,18,21,27,16,6,20,25,18,DALLAS MAVERICKS
1610612743,Denver Nuggets,82,57,25,0.695,49.3,112.3,34.5,0.718,7.3,5.7,16.3,13.6,13.9,51.6,1,2,2,2,5,8,3,15,20,9,13,10,11,22,DENVER NUGGETS
1610612765,Detroit Pistons,82,14,68,0.171,47.8,118.0,32.6,0.73,6.4,4.6,19.5,13.8,14.1,54.0,1,30,30,30,22,25,21,5,30,22,30,13,14,26,DETROIT PISTONS
1610612744,Golden State Warriors,82,46,36,0.561,48.0,114.5,34.3,0.725,6.9,4.6,17.1,13.3,14.8,49.3,1,16,16,16,20,15,5,10,24,24,21,7,20,14,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,82,41,41,0.5,48.1,112.8,33.8,0.722,7.7,4.5,14.8,13.7,11.6,48.4,1,19,19,19,18,10,12,12,10,25,5,12,1,8,HOUSTON ROCKETS
1610612754,Indiana Pacers,82,47,35,0.573,47.0,117.6,30.7,0.7,7.5,5.7,15.5,14.4,13.4,57.1,1,12,12,12,29,24,29,26,15,8,7,26,6,30,INDIANA PACERS
1610612746,LA Clippers,82,51,31,0.622,49.0,114.6,33.6,0.705,8.0,5.1,16.0,14.3,15.2,50.7,1,5,5,5,11,16,13,24,7,14,12,23,22,19,LA CLIPPERS
1610612747,Los Angeles Lakers,82,47,35,0.573,47.3,114.8,34.1,0.725,7.2,5.4,16.6,14.6,15.9,50.1,1,12,12,12,27,17,7,11,21,11,19,27,26,16,LOS ANGELES LAKERS
1610612763,Memphis Grizzlies,82,27,55,0.329,48.7,113.7,32.0,0.706,8.3,6.2,18.6,14.1,15.2,48.6,1,24,24,24,14,12,24,23,5,4,27,19,23,10,MEMPHIS GRIZZLIES
1610612748,Miami Heat,82,46,36,0.561,49.5,111.5,33.9,0.734,7.7,3.5,16.3,13.6,13.4,47.7,1,16,16,16,2,5,10,3,12,30,14,11,5,6,MIAMI HEAT
