season_id,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx
22018,1610612751,BKN,Brooklyn Nets,Isolation,Defensive,0.931,82,0.053,0.812,0.368,0.106,0.082,0.102,0.024,0.388,0.397,500,406,154,418,264
22018,1610612761,TOR,Toronto Raptors,Isolation,Defensive,0.379,82,0.052,0.899,0.411,0.12,0.101,0.089,0.021,0.424,0.448,484,435,159,387,228
22018,1610612765,DET,Detroit Pistons,Isolation,Defensive,0.207,82,0.053,0.928,0.423,0.13,0.096,0.113,0.032,0.437,0.462,471,437,160,378,218
22018,1610612737,ATL,Atlanta Hawks,Isolation,Defensive,0.966,81,0.059,0.809,0.355,0.121,0.081,0.103,0.018,0.381,0.387,554,448,160,451,291
22018,1610612749,MIL,Milwaukee Bucks,Isolation,Defensive,0.793,82,0.057,0.841,0.396,0.096,0.115,0.083,0.022,0.388,0.441,541,455,174,439,265
22018,1610612754,IND,Indiana Pacers,Isolation,Defensive,0.897,82,0.061,0.832,0.36,0.119,0.09,0.108,0.018,0.385,0.397,553,460,161,447,286
22018,1610612759,SAS,San Antonio Spurs,Isolation,Defensive,0.552,82,0.059,0.868,0.383,0.099,0.071,0.088,0.024,0.392,0.427,536,465,175,457,282
22018,1610612748,MIA,Miami Heat,Isolation,Defensive,0.241,82,0.056,0.925,0.388,0.153,0.088,0.143,0.022,0.426,0.441,509,471,154,397,243
22018,1610612740,NOP,New Orleans Pelicans,Isolation,Defensive,1.0,82,0.062,0.802,0.34,0.125,0.081,0.112,0.031,0.366,0.383,590,473,165,486,321
22018,1610612763,MEM,Memphis Grizzlies,Isolation,Defensive,0.759,82,0.063,0.851,0.352,0.139,0.087,0.132,0.025,0.393,0.389,562,478,158,449,291
22018,1610612750,MIN,Minnesota Timberwolves,Isolation,Defensive,0.862,82,0.061,0.839,0.377,0.094,0.101,0.084,0.016,0.383,0.428,572,480,177,469,292
22018,1610612753,ORL,Orlando Magic,Isolation,Defensive,0.138,82,0.057,0.949,0.42,0.115,0.082,0.103,0.023,0.435,0.469,513,487,178,424,246
22018,1610612766,CHA,Charlotte Hornets,Isolation,Defensive,0.724,82,0.063,0.854,0.393,0.102,0.09,0.094,0.019,0.403,0.431,576,492,187,476,289
22018,1610612739,CLE,Cleveland Cavaliers,Isolation,Defensive,0.0,82,0.057,1.006,0.446,0.14,0.082,0.126,0.036,0.461,0.504,499,502,181,406,225
22018,1610612757,POR,Portland Trail Blazers,Isolation,Defensive,0.345,82,0.061,0.906,0.393,0.161,0.079,0.148,0.025,0.437,0.426,554,502,171,435,264
22018,1610612756,PHX,Phoenix Suns,Isolation,Defensive,0.172,82,0.061,0.934,0.417,0.128,0.08,0.106,0.021,0.436,0.463,576,538,195,468,273
22018,1610612746,LAC,LA Clippers,Isolation,Defensive,0.517,82,0.067,0.876,0.37,0.133,0.086,0.111,0.022,0.403,0.413,630,552,187,505,318
22018,1610612743,DEN,Denver Nuggets,Isolation,Defensive,0.448,82,0.072,0.895,0.376,0.125,0.061,0.115,0.02,0.412,0.429,641,574,201,535,334
22018,1610612741,CHI,Chicago Bulls,Isolation,Defensive,0.034,82,0.064,0.988,0.462,0.106,0.092,0.095,0.034,0.451,0.506,587,580,227,491,264
22018,1610612742,DAL,Dallas Mavericks,Isolation,Defensive,0.655,82,0.074,0.866,0.384,0.092,0.076,0.08,0.016,0.399,0.428,672,582,219,570,351
22018,1610612738,BOS,Boston Celtics,Isolation,Defensive,0.828,82,0.076,0.841,0.377,0.115,0.097,0.107,0.029,0.391,0.413,698,587,215,570,355
22018,1610612764,WAS,Washington Wizards,Isolation,Defensive,0.483,82,0.071,0.892,0.38,0.131,0.084,0.117,0.026,0.408,0.431,666,594,205,540,335
22018,1610612762,UTA,Utah Jazz,Isolation,Defensive,0.414,82,0.073,0.898,0.411,0.106,0.099,0.088,0.03,0.413,0.455,669,601,227,552,325
22018,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.31,82,0.071,0.911,0.401,0.129,0.086,0.12,0.028,0.419,0.451,675,615,220,549,329
22018,1610612752,NYK,New York Knicks,Isolation,Defensive,0.103,82,0.073,0.962,0.425,0.123,0.065,0.108,0.027,0.448,0.465,676,650,241,567,326
22018,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,0.621,81,0.082,0.867,0.392,0.12,0.1,0.108,0.029,0.402,0.437,759,658,240,612,372
22018,1610612758,SAC,Sacramento Kings,Isolation,Defensive,0.069,82,0.073,0.981,0.414,0.126,0.066,0.113,0.027,0.439,0.479,697,684,241,582,341
22018,1610612755,PHI,Philadelphia 76ers,Isolation,Defensive,0.276,82,0.08,0.912,0.396,0.112,0.055,0.105,0.024,0.425,0.436,751,685,255,644,389
22018,1610612744,GSW,Golden State Warriors,Isolation,Defensive,0.586,82,0.102,0.867,0.385,0.104,0.081,0.094,0.016,0.406,0.426,958,831,306,794,488
22018,1610612745,HOU,Houston Rockets,Isolation,Defensive,0.69,82,0.108,0.863,0.395,0.12,0.099,0.102,0.023,0.407,0.426,987,852,314,794,480
