SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
42024,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.981,5,0.156,0.333,0.167,0.0,0.0,0.0,0.0,0.167,0.167,12,4,2,12,10
42024,1630202,Payton Pritchard,1610612738,BOS,Boston Celtics,Isolation,Defensive,0.962,10,0.12,0.4,0.125,0.1,0.1,0.1,0.0,0.2,0.125,10,4,1,8,7
42024,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Isolation,Defensive,0.962,8,0.143,0.4,0.143,0.2,0.1,0.0,0.0,0.3,0.143,10,4,1,7,6
42024,1641717,Cason Wallace,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,1.0,17,0.094,0.313,0.091,0.125,0.188,0.125,0.0,0.188,0.091,16,5,1,11,10
42024,1628436,Luke Kornet,1610612738,BOS,Boston Celtics,Isolation,Defensive,0.925,10,0.116,0.455,0.222,0.091,0.091,0.091,0.0,0.273,0.222,11,5,2,9,7
42024,1628384,OG Anunoby,1610612752,NYK,New York Knicks,Isolation,Defensive,0.904,18,0.038,0.5,0.222,0.1,0.0,0.1,0.0,0.3,0.222,10,5,2,9,7
42024,201144,Mike Conley,1610612750,MIN,Minnesota Timberwolves,Isolation,Defensive,0.868,15,0.101,0.6,0.2,0.2,0.3,0.2,0.0,0.3,0.3,10,6,1,5,4
42024,1628404,Josh Hart,1610612752,NYK,New York Knicks,Isolation,Defensive,0.904,18,0.084,0.5,0.182,0.143,0.143,0.143,0.071,0.214,0.182,14,7,2,11,9
42024,1630578,Alperen Sengun,1610612745,HOU,Houston Rockets,Isolation,Defensive,0.849,7,0.116,0.636,0.273,0.0,0.0,0.0,0.0,0.273,0.318,11,7,3,11,8
42024,1630596,Evan Mobley,1610612739,CLE,Cleveland Cavaliers,Isolation,Defensive,0.827,8,0.118,0.667,0.333,0.083,0.167,0.083,0.0,0.333,0.333,12,8,3,9,6
42024,1629011,Mitchell Robinson,1610612752,NYK,New York Knicks,Isolation,Defensive,0.755,13,0.089,0.727,0.2,0.091,0.0,0.0,0.0,0.273,0.3,11,8,2,10,8
42024,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,0.736,17,0.058,0.75,0.4,0.083,0.083,0.0,0.0,0.417,0.4,12,9,4,10,6
42024,1630241,Sam Merrill,1610612739,CLE,Cleveland Cavaliers,Isolation,Defensive,0.472,8,0.189,0.9,0.5,0.3,0.1,0.2,0.0,0.5,0.5,10,9,3,6,3
42024,1628401,Derrick White,1610612738,BOS,Boston Celtics,Isolation,Defensive,0.588,11,0.077,0.833,0.417,0.0,0.0,0.0,0.0,0.417,0.417,12,10,5,12,7
42024,201935,James Harden,1610612746,LAC,LA Clippers,Isolation,Defensive,0.442,7,0.145,0.909,0.667,0.091,0.364,0.091,0.0,0.455,0.667,11,10,4,6,2
42024,1641709,Ausar Thompson,1610612765,DET,Detroit Pistons,Isolation,Defensive,0.269,6,0.167,1.0,0.375,0.2,0.0,0.1,0.0,0.5,0.375,10,10,3,8,5
42024,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,Isolation,Defensive,0.528,5,0.203,0.846,0.364,0.154,0.0,0.154,0.0,0.385,0.409,13,11,4,11,7
42024,1631114,Jalen Williams,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,0.404,17,0.075,0.917,0.5,0.167,0.333,0.083,0.0,0.417,0.583,12,11,3,6,3
42024,1629660,Ty Jerome,1610612739,CLE,Cleveland Cavaliers,Isolation,Defensive,0.404,9,0.185,0.917,0.5,0.25,0.167,0.25,0.083,0.5,0.563,12,11,4,8,4
42024,1631096,Chet Holmgren,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,0.654,16,0.072,0.8,0.357,0.0,0.067,0.0,0.0,0.333,0.429,15,12,5,14,9
42024,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,0.208,17,0.059,1.091,0.625,0.0,0.273,0.0,0.0,0.455,0.75,11,12,5,8,3
42024,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,Isolation,Defensive,0.792,14,0.128,0.684,0.375,0.0,0.158,0.0,0.0,0.316,0.406,19,13,6,16,10
42024,1629638,Nickeil Alexander-Walker,1610612750,MIN,Minnesota Timberwolves,Isolation,Defensive,0.698,15,0.132,0.765,0.286,0.176,0.059,0.176,0.059,0.353,0.321,17,13,4,14,10
42024,202699,Tobias Harris,1610612765,DET,Detroit Pistons,Isolation,Defensive,0.774,6,0.23,0.7,0.313,0.1,0.1,0.1,0.0,0.35,0.313,20,14,5,16,11
42024,1628392,Isaiah Hartenstein,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,0.679,16,0.08,0.778,0.333,0.056,0.111,0.056,0.0,0.333,0.367,18,14,5,15,10
42024,1642366,Quinten Post,1610612744,GSW,Golden State Warriors,Isolation,Defensive,0.245,10,0.228,1.077,0.444,0.231,0.077,0.231,0.0,0.538,0.5,13,14,4,9,5
42024,1630169,Tyrese Haliburton,1610612754,IND,Indiana Pacers,Isolation,Defensive,0.057,17,0.047,1.273,0.545,0.0,0.0,0.0,0.0,0.545,0.636,11,14,6,11,5
42024,1630224,Jalen Green,1610612745,HOU,Houston Rockets,Isolation,Defensive,0.075,7,0.197,1.25,0.5,0.083,0.083,0.083,0.0,0.5,0.65,12,15,5,10,5
42024,1630167,Obi Toppin,1610612754,IND,Indiana Pacers,Isolation,Defensive,0.019,17,0.09,1.5,0.625,0.3,0.0,0.3,0.1,0.7,0.625,10,15,5,8,3
42024,1627826,Ivica Zubac,1610612746,LAC,LA Clippers,Isolation,Defensive,0.827,7,0.173,0.667,0.3,0.042,0.125,0.042,0.0,0.292,0.35,24,16,6,20,14
42024,1641764,Brandin Podziemski,1610612744,GSW,Golden State Warriors,Isolation,Defensive,0.269,12,0.144,1.0,0.467,0.063,0.063,0.063,0.063,0.438,0.5,16,16,7,15,8
42024,1627741,Buddy Hield,1610612744,GSW,Golden State Warriors,Isolation,Defensive,0.34,12,0.146,0.947,0.538,0.105,0.211,0.105,0.0,0.474,0.538,19,18,7,13,6
42024,204001,Kristaps Porziņģis,1610612738,BOS,Boston Celtics,Isolation,Defensive,0.038,11,0.118,1.286,0.636,0.143,0.071,0.143,0.0,0.643,0.636,14,18,7,11,4
42024,1628969,Mikal Bridges,1610612752,NYK,New York Knicks,Isolation,Defensive,0.321,18,0.085,0.95,0.333,0.25,0.05,0.2,0.05,0.45,0.333,20,19,5,15,10
42024,1630183,Jaden McDaniels,1610612750,MIN,Minnesota Timberwolves,Isolation,Defensive,0.588,15,0.104,0.833,0.316,0.208,0.042,0.208,0.042,0.417,0.342,24,20,6,19,13
42024,1629060,Rui Hachimura,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.588,5,0.369,0.833,0.333,0.083,0.042,0.083,0.0,0.375,0.381,24,20,7,21,14
42024,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,Isolation,Defensive,0.442,9,0.18,0.909,0.45,0.0,0.091,0.0,0.0,0.409,0.5,22,20,9,20,11
42024,1629614,Andrew Nembhard,1610612754,IND,Indiana Pacers,Isolation,Defensive,0.115,17,0.07,1.176,0.533,0.118,0.059,0.118,0.059,0.529,0.6,17,20,8,15,7
42024,1627936,Alex Caruso,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,0.115,17,0.102,1.176,0.667,0.353,0.176,0.294,0.059,0.647,0.667,17,20,6,9,3
42024,1626167,Myles Turner,1610612754,IND,Indiana Pacers,Isolation,Defensive,0.717,16,0.109,0.759,0.304,0.138,0.069,0.138,0.0,0.379,0.326,29,22,7,23,16
42024,201143,Al Horford,1610612738,BOS,Boston Celtics,Isolation,Defensive,0.623,11,0.176,0.821,0.391,0.107,0.107,0.107,0.036,0.357,0.435,28,23,9,23,14
42024,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,Isolation,Defensive,0.151,5,0.274,1.15,0.444,0.15,0.0,0.15,0.05,0.5,0.444,20,23,8,18,10
42024,1641767,Ben Sheppard,1610612754,IND,Indiana Pacers,Isolation,Defensive,0.0,14,0.173,1.643,0.7,0.286,0.071,0.286,0.071,0.714,0.85,14,23,7,10,3
42024,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.654,5,0.357,0.8,0.292,0.167,0.033,0.133,0.0,0.4,0.333,30,24,7,24,17
42024,1630174,Aaron Nesmith,1610612754,IND,Indiana Pacers,Isolation,Defensive,0.17,17,0.101,1.143,0.6,0.238,0.143,0.238,0.095,0.571,0.6,21,24,9,15,6
42024,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,Isolation,Defensive,0.491,18,0.096,0.862,0.417,0.138,0.069,0.138,0.034,0.448,0.438,29,25,10,24,14
42024,1629675,Naz Reid,1610612750,MIN,Minnesota Timberwolves,Isolation,Defensive,0.377,15,0.181,0.926,0.417,0.074,0.037,0.074,0.0,0.444,0.458,27,25,10,24,14
42024,1627783,Pascal Siakam,1610612754,IND,Indiana Pacers,Isolation,Defensive,0.189,17,0.115,1.136,0.6,0.227,0.182,0.227,0.091,0.545,0.633,22,25,9,15,6
42024,203497,Rudy Gobert,1610612750,MIN,Minnesota Timberwolves,Isolation,Defensive,0.547,15,0.139,0.844,0.308,0.156,0.031,0.156,0.0,0.406,0.346,32,27,8,26,18
42024,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,Isolation,Defensive,0.226,5,0.333,1.08,0.391,0.12,0.0,0.12,0.04,0.44,0.457,25,27,9,23,14
42024,1631128,Christian Braun,1610612743,DEN,Denver Nuggets,Isolation,Defensive,0.509,14,0.186,0.854,0.364,0.146,0.098,0.146,0.049,0.366,0.409,41,35,12,33,21
42024,1626157,Karl-Anthony Towns,1610612752,NYK,New York Knicks,Isolation,Defensive,0.358,18,0.119,0.946,0.414,0.216,0.027,0.216,0.027,0.486,0.466,37,35,12,29,17
42024,203944,Julius Randle,1610612750,MIN,Minnesota Timberwolves,Isolation,Defensive,0.094,15,0.181,1.194,0.458,0.161,0.065,0.161,0.0,0.516,0.563,31,37,11,24,13
42024,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,Isolation,Defensive,0.302,14,0.226,0.978,0.432,0.156,0.067,0.156,0.044,0.467,0.446,45,44,16,37,21
