SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22020,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.966,72,0.177,0.96,0.367,0.031,0.043,0.03,0.01,0.362,0.493,19.5,18.7,6.7,18.3,11.6
22020,1610612741,CHI,Chicago Bulls,Spotup,Defensive,0.655,72,0.197,1.023,0.387,0.049,0.055,0.046,0.006,0.392,0.526,21.5,22.0,7.5,19.4,11.9
22020,1610612755,PHI,Philadelphia 76ers,Spotup,Defensive,0.379,72,0.198,1.043,0.393,0.048,0.053,0.041,0.009,0.393,0.534,22.1,23.1,7.9,20.1,12.2
22020,1610612756,PHX,Phoenix Suns,Spotup,Defensive,0.897,72,0.213,0.995,0.387,0.041,0.066,0.036,0.009,0.381,0.516,23.2,23.1,8.1,21.0,12.8
22020,1610612746,LAC,LA Clippers,Spotup,Defensive,0.828,72,0.22,1.004,0.391,0.047,0.071,0.044,0.01,0.382,0.525,23.6,23.7,8.2,21.0,12.8
22020,1610612758,SAC,Sacramento Kings,Spotup,Defensive,0.345,72,0.202,1.045,0.4,0.051,0.051,0.049,0.01,0.4,0.534,22.7,23.7,8.3,20.6,12.4
22020,1610612765,DET,Detroit Pistons,Spotup,Defensive,0.414,72,0.211,1.042,0.406,0.055,0.052,0.05,0.015,0.406,0.534,23.1,24.1,8.5,21.0,12.5
22020,1610612742,DAL,Dallas Mavericks,Spotup,Defensive,0.586,72,0.219,1.029,0.385,0.052,0.046,0.047,0.004,0.395,0.523,23.8,24.5,8.3,21.5,13.2
22020,1610612763,MEM,Memphis Grizzlies,Spotup,Defensive,0.931,72,0.227,0.973,0.373,0.038,0.068,0.037,0.009,0.364,0.509,25.4,24.8,8.6,23.0,14.4
22020,1610612739,CLE,Cleveland Cavaliers,Spotup,Defensive,0.172,72,0.213,1.071,0.408,0.052,0.059,0.05,0.013,0.403,0.553,23.2,24.9,8.5,21.0,12.4
22020,1610612747,LAL,Los Angeles Lakers,Spotup,Defensive,0.793,72,0.226,1.008,0.398,0.045,0.073,0.04,0.013,0.386,0.529,24.8,25.0,8.8,22.2,13.4
22020,1610612737,ATL,Atlanta Hawks,Spotup,Defensive,0.862,72,0.229,0.999,0.383,0.048,0.053,0.044,0.014,0.383,0.508,25.2,25.1,8.8,23.0,14.2
22020,1610612745,HOU,Houston Rockets,Spotup,Defensive,0.483,72,0.217,1.042,0.395,0.051,0.068,0.049,0.011,0.391,0.54,24.4,25.4,8.6,21.8,13.2
22020,1610612760,OKC,Oklahoma City Thunder,Spotup,Defensive,0.276,72,0.216,1.051,0.393,0.041,0.043,0.04,0.007,0.396,0.535,24.4,25.6,8.8,22.5,13.6
22020,1610612764,WAS,Washington Wizards,Spotup,Defensive,0.069,72,0.202,1.088,0.421,0.061,0.066,0.059,0.015,0.418,0.562,23.5,25.6,8.8,20.9,12.1
22020,1610612759,SAS,San Antonio Spurs,Spotup,Defensive,0.103,72,0.212,1.087,0.415,0.047,0.051,0.045,0.008,0.414,0.56,23.6,25.7,8.9,21.5,12.6
22020,1610612751,BKN,Brooklyn Nets,Spotup,Defensive,0.724,72,0.225,1.013,0.387,0.04,0.054,0.035,0.006,0.385,0.523,25.4,25.8,9.0,23.2,14.2
22020,1610612738,BOS,Boston Celtics,Spotup,Defensive,0.207,72,0.229,1.062,0.403,0.044,0.049,0.043,0.008,0.403,0.547,25.1,26.7,9.3,23.0,13.7
