SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
42023,1610612738,BOS,Boston Celtics,Postup,Offensive,0.467,19,0.063,0.992,0.471,0.139,0.041,0.115,0.016,0.508,0.471,122,121,48,102,54
42023,1610612750,MIN,Minnesota Timberwolves,Postup,Offensive,1.0,16,0.054,1.22,0.617,0.297,0.143,0.231,0.099,0.593,0.617,91,111,37,60,23
42023,1610612754,IND,Indiana Pacers,Postup,Offensive,0.667,17,0.052,1.17,0.643,0.17,0.128,0.16,0.043,0.606,0.643,94,110,45,70,25
42023,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.4,12,0.078,0.99,0.514,0.115,0.135,0.083,0.021,0.49,0.514,96,95,38,74,36
42023,1610612749,MIL,Milwaukee Bucks,Postup,Offensive,0.6,6,0.089,1.054,0.531,0.125,0.036,0.107,0.036,0.536,0.531,56,59,26,49,23
42023,1610612742,DAL,Dallas Mavericks,Postup,Offensive,0.267,22,0.026,0.966,0.488,0.203,0.119,0.203,0.017,0.508,0.488,59,57,20,41,21
42023,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.533,6,0.082,1.0,0.5,0.154,0.135,0.154,0.058,0.481,0.5,52,52,20,40,20
42023,1610612748,MIA,Miami Heat,Postup,Offensive,0.867,5,0.085,1.195,0.625,0.195,0.122,0.195,0.098,0.585,0.625,41,49,20,32,12
42023,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.333,5,0.074,0.974,0.516,0.132,0.079,0.132,0.026,0.526,0.516,38,37,16,31,15
42023,1610612753,ORL,Orlando Magic,Postup,Offensive,0.067,7,0.046,0.886,0.5,0.114,0.2,0.114,0.0,0.457,0.5,35,31,12,24,12
42023,1610612752,NYK,New York Knicks,Postup,Offensive,0.733,13,0.016,1.182,0.667,0.136,0.091,0.136,0.045,0.591,0.667,22,26,12,18,6
42023,1610612740,NOP,New Orleans Pelicans,Postup,Offensive,0.133,4,0.064,0.893,0.455,0.143,0.107,0.143,0.036,0.464,0.455,28,25,10,22,12
42023,1610612739,CLE,Cleveland Cavaliers,Postup,Offensive,0.0,12,0.029,0.629,0.355,0.029,0.114,0.029,0.029,0.314,0.355,35,22,11,31,20
42023,1610612756,PHX,Phoenix Suns,Postup,Offensive,0.8,4,0.039,1.188,0.571,0.125,0.063,0.125,0.063,0.563,0.571,16,19,8,14,6
42023,1610612746,LAC,LA Clippers,Postup,Offensive,0.2,6,0.034,0.905,0.474,0.048,0.095,0.048,0.048,0.429,0.474,21,19,9,19,10
42023,1610612760,OKC,Oklahoma City Thunder,Postup,Offensive,0.933,10,0.014,1.2,0.538,0.2,0.0,0.2,0.067,0.6,0.538,15,18,7,13,6
