GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,1626148,Anthony Brown,Anthony,1610612747,LAL,23.0,4,1,3,0.25,14.4,0.0,3.3,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,3.3,3.3,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0,0,3.3,339,362,311,380,297,342,372,342,209,208,209,299,312,299,270,316,346,287,282,237,200,206,67,326,359,206,398,190,13,399
Players,101138,Brandon Bass,Brandon,1610612747,LAL,31.0,20,7,13,0.35,61.045,7.1,11.8,0.6,0.0,0.0,0.0,3.1,3.9,0.8,4.7,1.6,6.3,2.4,0.8,3.9,2.4,0.8,11.0,4.7,17.3,-6.3,46.5,0,0,38.5,196,215,140,325,171,138,226,59,209,275,209,234,252,144,68,347,250,180,261,23,65,152,54,176,183,260,121,190,13,167
Players,1626156,D'Angelo Russell,D'Angelo,1610612747,LAL,20.0,20,5,15,0.25,56.34166666666667,8.5,17.9,0.476,4.3,6.8,0.625,5.1,6.8,0.75,1.7,6.0,7.7,3.4,3.4,0.0,0.0,0.0,4.3,3.4,26.4,-16.2,37.3,1,0,41.7,196,252,114,380,181,87,126,128,24,123,20,166,171,171,172,197,214,127,77,237,200,206,289,233,90,310,192,125,13,133
Players,203903,Jordan Clarkson,Jordan,1610612747,LAL,24.0,29,11,18,0.379,82.74333333333334,8.1,17.4,0.467,0.6,1.2,0.5,8.7,10.4,0.833,2.3,2.9,5.2,1.7,4.1,1.7,0.0,0.6,4.6,5.8,25.5,-5.8,35.6,1,0,36.5,117,157,59,306,133,100,134,134,189,256,30,82,97,122,146,327,289,218,55,90,200,175,266,132,96,255,216,125,13,188
Players,203944,Julius Randle,Julius,1610612747,LAL,21.0,29,11,18,0.379,94.40833333333332,6.6,12.2,0.542,0.5,2.0,0.25,5.1,9.7,0.526,5.6,14.2,19.8,2.0,1.5,1.0,0.0,1.5,8.1,6.1,18.8,-9.7,47.2,17,0,43.2,117,157,59,306,113,151,214,80,195,237,140,168,111,258,47,17,20,199,201,170,200,87,108,122,170,278,114,15,13,125
Players,977,Kobe Bryant,Kobe,1610612747,LAL,37.0,24,8,16,0.333,56.66333333333333,16.1,45.7,0.352,8.5,20.3,0.417,16.9,18.6,0.909,0.0,2.5,2.5,4.2,0.0,0.0,0.0,0.0,5.9,14.4,57.6,-22.9,67.0,2,0,72.9,163,195,97,330,180,14,6,241,4,4,64,19,27,80,270,334,355,98,282,237,200,206,195,14,7,337,30,103,13,15
Players,1626204,Larry Nance Jr.,Larry,1610612747,LAL,23.0,12,3,9,0.25,33.73166666666667,2.8,5.7,0.5,0.0,0.0,0.0,0.0,1.4,0.0,1.4,4.3,5.7,1.4,0.0,0.0,2.8,0.0,4.3,1.4,5.7,0.0,23.2,0,0,18.5,257,293,200,380,233,284,345,98,209,275,209,299,302,299,196,273,275,243,282,237,44,206,288,304,345,206,322,190,13,345
Players,101150,Lou Williams,Lou,1610612747,LAL,29.0,25,8,17,0.32,79.53333333333333,7.8,21.7,0.361,4.2,12.7,0.333,7.8,8.4,0.929,1.2,3.0,4.2,3.6,1.2,0.6,1.2,0.6,4.8,4.8,27.8,-10.3,42.5,0,0,43.5,151,195,77,360,138,112,80,231,25,24,88,91,129,70,210,325,325,117,233,210,118,174,258,172,77,281,152,190,13,123
Players,1626273,Marcelo Huertas,Marcelo,1610612747,LAL,33.0,6,2,4,0.333,14.278333333333334,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,10.1,16.8,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,45.4,0,0,33.6,312,326,285,330,298,342,326,342,209,275,209,299,312,299,32,71,39,3,282,237,200,206,375,326,359,185,130,190,13,210
Players,1897,Metta World Peace,Metta,1610612747,LAL,36.0,3,0,3,0.0,8.116666666666667,5.9,17.7,0.333,5.9,11.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,5.9,0.0,17.7,-47.3,35.5,0,0,35.5,357,408,311,408,344,171,129,255,11,32,30,299,312,299,270,356,370,287,282,11,200,206,197,326,179,388,217,190,13,196
Players,201156,Nick Young,Nick,1610612747,LAL,31.0,15,4,11,0.267,24.898333333333333,1.9,13.5,0.143,0.0,7.7,0.0,0.0,0.0,0.0,3.9,5.8,9.6,0.0,0.0,0.0,0.0,1.9,1.9,0.0,3.9,7.7,15.4,0,0,13.5,233,270,174,377,260,321,191,333,209,100,209,299,312,299,94,207,161,287,282,237,200,68,370,326,355,153,372,190,13,376
Players,203135,Robert Sacre,Robert,1610612747,LAL,27.0,1,0,1,0.0,2.35,20.4,20.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9,0.0,40.9,-20.4,40.9,0,0,40.9,404,408,363,408,394,6,97,1,209,275,209,299,312,299,270,356,370,287,282,237,200,206,7,326,27,328,168,190,13,138
Players,201579,Roy Hibbert,Roy,1610612747,LAL,29.0,12,4,8,0.333,35.53,1.4,4.1,0.333,0.0,0.0,0.0,8.1,9.5,0.857,6.8,6.8,13.5,0.0,1.4,0.0,4.1,0.0,5.4,6.8,10.8,-29.7,37.8,2,0,32.4,257,270,215,330,230,332,365,255,209,275,209,87,114,107,31,166,73,287,219,237,29,206,230,106,275,355,187,103,13,222
Players,203527,Ryan Kelly,Ryan,1610612747,LAL,25.0,4,1,3,0.25,7.801666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,18.5,18.5,0.0,6.2,0.0,6.2,0.0,0.0,12.3,0.0,49.2,34.5,0,0,30.8,339,362,311,380,348,342,379,342,209,275,209,299,69,299,270,7,29,287,13,237,12,206,375,28,359,34,225,190,13,241
Players,204028,Tarik Black,Tarik,1610612747,LAL,24.0,2,0,2,0.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.4,0.0,0,0,0.0,374,408,329,408,410,342,379,342,209,275,209,299,312,299,270,356,370,287,282,237,200,206,375,326,359,417,400,190,13,400
