GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,1627293,Alex Stepheson,Alex,1610612763,MEM,28.0,1,0,1,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404,408,31,408,424,234,237,175,303,1,1,1,401,200,1,1,326,400
Players,2757,Beno Udrih,Beno,1610612763,MEM,33.0,8,6,2,0.75,19.985,0.0,0.0,0.0,0.0,10.8,0.0,5.4,7.2,0.0,0.0,1.8,3.6,12.4,296,235,75,44,285,234,237,175,303,230,1,199,399,200,1,78,174,360
Players,2365,Chris Andersen,Chris,1610612763,MEM,37.0,7,4,3,0.571,8.763333333333334,0.0,0.0,0.0,8.2,24.6,8.2,0.0,24.6,4.1,0.0,0.0,16.4,61.6,301,270,109,127,335,234,237,175,83,411,140,1,298,15,1,1,4,9
Players,203210,JaMychal Green,JaMychal,1610612763,MEM,26.0,16,8,8,0.5,23.45833333333333,6.1,9.2,3.1,12.3,13.8,10.7,3.1,43.0,1.5,0.0,6.1,1.5,38.1,222,195,204,188,266,19,11,45,33,336,249,121,38,77,1,330,286,97
Players,1626185,Jarell Martin,Jarell,1610612763,MEM,22.0,5,2,3,0.4,3.591666666666667,0.0,0.0,0.0,0.0,0.0,30.1,0.0,40.1,0.0,0.0,10.0,0.0,45.1,329,326,109,291,380,234,237,175,303,1,425,1,50,200,1,405,326,49
Players,200770,Jordan Farmar,Jordan,1610612763,MEM,29.0,4,1,3,0.25,13.66,0.0,7.9,0.0,0.0,23.7,15.8,5.3,36.9,0.0,2.6,5.3,5.3,25.3,339,362,109,380,302,234,15,175,303,408,380,194,64,200,412,299,96,231
Players,202362,Lance Stephenson,Lance,1610612763,MEM,25.0,20,5,15,0.25,45.36,2.4,3.2,0.8,7.9,9.5,19.8,3.2,41.3,0.8,1.6,0.8,3.2,24.8,196,252,313,380,204,119,83,152,85,194,405,126,44,133,375,64,198,236
Players,201188,Marc Gasol,Marc,1610612763,MEM,31.0,27,19,8,0.704,105.41,4.1,2.4,0.0,10.2,8.9,5.8,5.1,20.5,0.7,0.7,3.4,7.2,36.0,131,64,204,56,97,49,124,175,48,180,82,185,352,142,295,164,49,109
Players,2440,Matt Barnes,Matt,1610612763,MEM,36.0,36,20,16,0.556,105.13166666666666,1.0,2.4,0.0,1.4,12.3,9.6,3.8,28.8,0.7,0.3,4.8,4.5,34.9,59,45,324,142,98,204,123,175,288,289,195,139,182,141,246,269,127,120
Players,201144,Mike Conley,Mike,1610612763,MEM,28.0,30,19,11,0.633,115.50166666666668,2.8,4.1,0.9,5.6,9.4,7.8,4.4,22.4,0.6,2.2,4.7,4.4,32.4,107,64,251,91,82,93,54,135,143,192,123,159,332,148,402,263,130,149
Players,203798,PJ Hairston,PJ,1610612763,MEM,23.0,12,7,5,0.583,22.325,0.0,0.0,0.0,0.0,8.1,9.7,0.0,22.6,0.0,0.0,1.6,3.2,15.0,257,215,153,116,275,234,237,175,303,157,204,1,329,200,1,72,193,341
Players,200797,Ryan Hollins,Ryan,1610612763,MEM,31.0,4,3,1,0.75,5.045,0.0,0.0,0.0,0.0,14.3,28.5,14.3,42.8,0.0,0.0,7.1,0.0,0.0,339,293,31,44,366,234,237,175,303,348,424,407,40,200,1,360,326,400
Players,2754,Tony Allen,Tony,1610612763,MEM,34.0,27,16,11,0.593,86.33666666666667,1.7,0.0,2.1,2.5,12.9,9.6,5.4,31.7,0.4,0.4,4.2,1.3,17.7,131,99,251,112,125,164,237,81,254,313,196,200,117,173,257,219,300,316
Players,1713,Vince Carter,Vince,1610612763,MEM,39.0,15,7,8,0.467,23.261666666666667,10.8,7.7,0.0,3.1,12.4,18.6,3.1,24.8,1.5,0.0,9.3,6.2,37.6,233,215,204,244,268,6,16,175,234,291,397,123,295,74,1,396,74,101
Players,204098,Xavier Munford,Xavier,1610612763,MEM,24.0,4,1,3,0.25,6.445,0.0,0.0,0.0,0.0,11.2,22.3,0.0,44.7,0.0,0.0,5.6,0.0,16.8,339,362,109,380,357,234,237,175,303,247,414,1,33,200,1,313,326,326
Players,2216,Zach Randolph,Zach,1610612763,MEM,34.0,33,20,13,0.606,118.905,2.7,8.5,2.4,13.3,10.9,7.9,5.1,23.6,0.6,1.8,2.7,4.8,41.8,81,45,281,101,74,100,13,66,25,233,124,186,315,150,389,119,116,73
