GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,203142,Chris Copeland,Chris,1610612749,MIL,32.0,1,0,1,0.0,0.1733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,404,408,31,408,423,234,237,175,303,1,1,1,1,200,1,1,326,400
Players,203996,Damien Inglis,Damien,1610612749,MIL,21.0,1,0,1,0.0,0.415,0,0,0,0,0,0,0,2,0,0,0,0,0.0,404,408,31,408,417,234,237,175,303,1,1,1,37,200,1,1,326,400
Players,203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,21.0,38,19,19,0.5,133.95,12,6,4,24,50,32,33,96,12,3,20,23,139.8,38,64,379,188,50,30,81,75,49,410,352,417,376,4,367,409,34,38
Players,202328,Greg Monroe,Greg,1610612749,MIL,26.0,31,15,16,0.484,114.52666666666669,10,16,0,50,43,31,26,78,2,4,8,12,111.8,100,109,324,232,87,41,13,175,6,398,343,379,336,78,386,272,80,59
Players,202349,Greivis Vasquez,Greivis,1610612749,MIL,29.0,6,4,2,0.667,13.241666666666667,0,0,0,0,0,4,2,12,0,0,1,0,10.2,312,270,75,61,303,234,237,175,303,1,116,110,134,200,1,63,326,297
Players,203953,Jabari Parker,Jabari,1610612749,MIL,21.0,30,16,14,0.533,103.87333333333332,5,4,0,14,33,22,21,72,2,1,8,8,65.1,107,99,298,168,100,102,118,175,88,363,285,341,321,78,232,272,118,126
Players,201573,Jerryd Bayless,Jerryd,1610612749,MIL,27.0,20,10,10,0.5,68.465,6,6,5,4,23,20,14,52,0,3,7,7,41.5,196,176,238,188,158,81,81,64,183,296,275,288,276,200,367,258,127,172
Players,203089,John Henson,John,1610612749,MIL,25.0,12,7,5,0.583,21.135,0,0,0,2,0,6,0,14,2,0,6,3,23.8,257,215,153,116,280,234,237,175,234,1,147,1,147,78,1,231,192,228
Players,203948,Johnny O'Bryant III,Johnny,1610612749,MIL,23.0,5,1,4,0.2,9.4,0,0,0,0,4,0,2,8,0,0,3,1,9.1,329,362,127,396,331,234,237,175,303,124,1,110,100,200,1,158,268,306
Players,203114,Khris Middleton,Khris,1610612749,MIL,24.0,38,20,18,0.526,155.45833333333334,17,8,6,30,53,37,35,106,1,3,18,31,145.9,38,45,361,173,24,10,62,44,37,415,380,421,396,126,367,398,20,35
Players,203487,Michael Carter-Williams,Michael,1610612749,MIL,24.0,21,11,10,0.524,89.705,4,2,3,10,31,22,16,52,5,2,11,14,86.2,188,157,238,178,119,114,170,94,110,350,285,309,276,24,314,323,62,97
Players,203101,Miles Plumlee,Miles,1610612749,MIL,27.0,10,5,5,0.5,23.376666666666665,1,1,1,4,10,0,8,18,0,0,3,2,22.5,277,252,153,188,267,226,222,159,183,195,1,223,168,200,1,158,224,236
Players,201564,O.J. Mayo,O.J.,1610612749,MIL,28.0,13,7,6,0.538,40.15833333333333,2,0,5,4,16,7,12,26,1,0,6,3,32.3,250,215,174,161,216,169,237,64,183,246,169,267,202,126,1,231,192,196
Players,1626173,Rashad Vaughn,Rashad,1610612749,MIL,19.0,6,2,4,0.333,9.63,2,0,0,2,1,0,3,8,1,0,5,0,5.0,312,326,127,330,328,169,237,175,234,72,1,147,100,126,1,212,326,338
Players,200779,Steve Novak,Steve,1610612749,MIL,33.0,1,0,1,0.0,0.0483333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,404,408,31,408,427,234,237,175,303,1,1,1,1,200,1,1,326,400
Players,203898,Tyler Ennis,Tyler,1610612749,MIL,21.0,7,5,2,0.714,23.74333333333333,4,0,0,2,11,4,8,26,0,0,3,2,5.7,301,252,75,53,264,114,237,175,234,205,116,223,202,200,1,158,224,331
