GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK
Players,203463,Ben McLemore,Ben,1610612758,SAC,23.0,17,8,9,0.471,1.5,86.7,79.7,79.7,100.7,94.2,94.2,-14.0,-14.5,-14.5,0.0,0.0,0.0,0.0,0.069,0.028,9.1,9.3,0.438,0.461,0.138,0.147,117.19,126.38,105.32,126.38,0.0,69,3,8,0.2,0.5,0.375,216,195,223,241,338,368,374,374,160,122,122,320,326,326,287,238,287,270,305,349,283,286,203,262,229,222,39,42,42,329,223,226,259,280,209
Players,2406,Caron Butler,Caron,1610612758,SAC,36.0,2,1,1,0.5,1.2,41.0,33.3,33.3,120.0,120.0,120.0,-79.0,-86.7,-86.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.13,113.71,94.76,113.71,0.0,6,0,0,0.0,0.0,0.0,374,362,31,188,370,413,412,412,348,376,376,413,418,418,287,238,287,270,356,370,1,1,342,359,390,391,149,83,83,329,342,379,342,379,342
Players,201954,Darren Collison,Darren,1610612758,SAC,28.0,33,12,21,0.364,3.5,96.5,94.8,94.8,115.3,109.4,109.4,-18.8,-14.6,-14.6,0.156,1.0,14.7,0.023,0.072,0.047,14.7,15.1,0.526,0.604,0.198,0.199,100.98,104.62,87.18,104.62,0.094,249,16,38,0.5,1.2,0.421,81,144,402,318,109,314,297,297,298,294,294,335,328,328,107,131,121,207,296,298,367,368,123,119,125,132,175,180,180,172,69,69,113,97,170
Players,202326,DeMarcus Cousins,DeMarcus,1610612758,SAC,25.0,36,15,21,0.417,3.2,99.4,97.6,97.6,111.0,105.5,105.5,-11.6,-7.9,-7.9,0.143,0.44,6.8,0.113,0.215,0.163,15.3,15.5,0.354,0.461,0.381,0.389,100.86,104.42,87.02,104.42,0.104,251,25,72,0.7,2.0,0.347,59,109,402,283,145,283,281,281,260,261,261,307,287,287,115,221,242,45,50,34,370,373,271,264,14,16,180,182,182,152,35,26,56,27,250
Players,202341,James Anderson,James,1610612758,SAC,27.0,10,3,7,0.3,1.0,103.3,82.6,82.6,128.4,126.5,126.5,-25.2,-43.9,-43.9,0.0,0.0,0.0,0.0,0.067,0.045,0.0,0.0,0.0,1.136,0.042,0.048,129.86,142.67,118.89,142.67,0.023,23,0,0,0.0,0.0,0.0,277,293,188,363,382,240,367,367,382,403,403,355,399,399,287,238,287,270,309,301,1,1,342,2,386,385,27,28,28,311,342,379,342,379,342
Players,201585,Kosta Koufos,Kosta,1610612758,SAC,27.0,17,6,11,0.353,1.5,95.4,88.1,88.1,114.9,107.7,107.7,-19.5,-19.6,-19.6,0.077,0.0,9.1,0.162,0.0,0.095,0.0,0.0,0.444,0.484,0.145,0.16,107.25,115.24,96.04,115.24,0.014,59,4,9,0.2,0.5,0.444,216,235,251,324,341,323,346,346,294,283,283,338,353,353,196,238,214,17,356,150,1,1,195,244,208,199,74,73,73,318,197,217,228,244,146
Players,201158,Marco Belinelli,Marco,1610612758,SAC,30.0,29,12,17,0.414,2.4,92.4,90.4,90.4,120.3,107.5,107.5,-27.9,-17.0,-17.0,0.162,3.0,15.0,0.024,0.058,0.039,5.0,4.9,0.4,0.423,0.177,0.192,104.52,111.55,92.96,111.55,0.037,167,10,30,0.3,1.0,0.333,117,144,341,284,246,340,333,333,352,280,280,365,337,337,100,26,119,205,327,329,185,186,236,284,157,146,105,91,91,282,111,92,168,114,255
Players,201956,Omri Casspi,Omri,1610612758,SAC,28.0,23,9,14,0.391,2.4,93.3,92.6,92.6,125.5,111.4,111.4,-32.2,-18.8,-18.8,0.054,2.0,14.3,0.0,0.115,0.051,7.1,7.3,0.389,0.465,0.086,0.087,100.69,107.15,89.29,107.15,0.039,122,3,9,0.1,0.4,0.333,173,182,298,300,253,336,320,320,373,313,313,377,349,349,230,64,123,270,193,285,228,234,246,259,328,332,185,144,144,278,223,217,296,300,255
Players,203112,Quincy Acy,Quincy,1610612758,SAC,25.0,10,5,5,0.5,2.2,128.9,108.2,108.2,93.7,92.6,92.6,35.2,15.6,15.6,0.0,0.0,0.0,0.071,0.172,0.14,0.0,0.0,1.0,0.962,0.075,0.081,104.46,113.88,94.9,113.88,0.175,49,1,1,0.1,0.1,1.0,277,252,153,188,279,36,139,139,94,103,103,45,80,80,287,238,287,93,90,63,1,1,5,25,349,346,108,82,82,52,279,337,307,376,1
Players,200765,Rajon Rondo,Rajon,1610612758,SAC,30.0,38,15,23,0.395,3.1,97.7,94.9,94.9,115.1,109.0,109.0,-17.4,-14.1,-14.1,0.438,2.55,40.0,0.075,0.142,0.108,15.7,16.0,0.538,0.551,0.14,0.143,103.67,108.1,90.08,108.1,0.119,257,14,26,0.4,0.7,0.538,38,109,418,299,171,297,295,295,296,289,289,329,324,324,21,44,17,86,154,111,376,376,116,172,221,231,120,128,128,125,84,106,157,198,82
Players,200752,Rudy Gay,Rudy,1610612758,SAC,29.0,37,16,21,0.432,3.6,102.1,100.3,100.3,112.5,107.5,107.5,-10.4,-7.2,-7.2,0.041,0.75,3.8,0.033,0.146,0.088,5.1,5.2,0.432,0.468,0.224,0.228,102.04,105.31,87.76,105.31,0.093,291,23,59,0.6,1.6,0.39,51,99,402,267,95,259,231,231,273,282,282,294,281,281,261,193,276,171,141,173,190,189,210,257,88,96,151,166,166,177,42,41,76,56,200
Players,203552,Seth Curry,Seth,1610612758,SAC,25.0,7,3,4,0.429,3.8,117.6,117.2,117.2,107.4,105.0,105.0,10.3,12.2,12.2,0.1,0.0,28.6,0.0,0.037,0.018,0.0,0.0,0.7,0.735,0.076,0.084,104.03,105.38,87.82,105.38,0.082,58,3,5,0.4,0.7,0.6,301,293,127,269,63,81,43,43,232,254,254,125,103,103,152,238,35,270,344,367,1,1,56,61,348,337,115,165,165,194,223,269,136,185,59
Players,1626161,Willie Cauley-Stein,Willie,1610612758,SAC,22.0,15,9,6,0.6,1.9,97.5,92.3,92.3,98.3,93.3,93.3,-0.8,-1.0,-1.0,0.067,1.0,16.7,0.069,0.105,0.09,16.7,17.0,0.667,0.773,0.069,0.073,109.84,115.87,96.56,115.87,0.058,65,2,3,0.1,0.2,0.667,233,182,174,103,296,300,323,323,127,110,110,216,220,220,209,131,99,102,215,168,379,384,61,46,357,358,64,68,68,247,249,296,294,356,45
